Status,Vendor No.,Vendor,System,Division,Total Spend,Invoices,Open Balance,Avg Day to Pay,% Late,Avg Days Paid Late,Avg Invoice Value,Added On,Vendor Group,Telephone,Tax ID,Email
Active,1000000020,"Wright, Garcia and Deleon","SAP-P49, SAP-P49-WF","Marelli PWT Slovakia, Marelli Japan, Marelli EPT Cologne, Marelli Poland, Marelli Germany, Marelli Italy",0.0,0,0.0,,,,0.0,2022-01-17,,(392)832-2602x56342,7111908355,garrisonjeffrey@example.com
Inactive,1000000021,Torres-Pope,SAP-P49,"Marelli PWT Slovakia, Marelli EPT Cologne",0.0,0,-0.0,,,,0.0,2024-01-22,,730.836.5414,2420514810,sheila14@example.org
Active,1000000022,"Estes, Baker and Rodriguez",SAP-P49,,993674.4,435,19941.08,40.0,54.67,5.0,4754.42,2023-09-11,,(555)769-8169x34060,4067418708,qjones@example.com
Active,1000000023,"Edwards, Charles and Cortez",SAP-P49,"Marelli Poland, Marelli EPT Cologne, Marelli Japan, Marelli Germany",1005459.96,357,-316866.23,81.0,96.96,21.0,2732.23,2023-09-13,,684-865-6482x3662,2664847342,torresjason@example.net
Active,1000000024,"Pena, Marshall and Ramos","SAP-P49, SAP-P49-WF",,0.0,0,0.0,,,,0.0,2022-09-24,,387.521.4895,2245523011,jeffrey32@example.org
Active,1000000025,Sanchez Group,SAP-P49,,1003692.33,42,-413026.92,33.0,19.6,2.0,3290.79,2021-05-09,,+1-317-869-3676x320,3010193071,gregoryrubio@example.net
Active,1000000026,Williams-Wright,"SAP-P49, SAP-P49-WF","Marelli PWT Slovakia, Marelli EPT Cologne, Marelli Poland, Marelli Germany, Marelli Japan",0.0,0,-0.0,,,,0.0,2022-09-25,,872-978-8957,3025148407,juliawells@example.com
Inactive,1000000027,Larsen LLC,SAP-P49-WF,Marelli PWT Slovakia,0.0,0,-0.0,,,,0.0,2024-06-15,,001-487-434-7143x45581,6278201704,patrickhernandez@example.org
Active,1000000028,Perry LLC,"SAP-P49, SAP-P49-WF","Marelli PWT Slovakia, Marelli Germany, Marelli Poland",0.0,0,-0.0,,,,0.0,2021-11-09,,+1-876-903-6690,8176955708,benderkenneth@example.com
Inactive,1000000029,Medina-Navarro,"SAP-P49, SAP-P49-WF",,1000856.84,414,-228846.89,77.0,82.87,0.0,2926.48,2024-01-30,,+1-937-434-6706x562,7580789255,meadowsbrittany@example.net
Active,1000000030,Miller Group,SAP-P49-WF,Marelli Japan,993266.61,284,42408.59,29.0,14.09,8.0,6850.11,2024-05-12,,(772)704-6537,7199614795,aramirez@example.com
Inactive,1000000031,Ruiz Ltd,"SAP-P49, SAP-P49-WF",Marelli PWT Slovakia,0.0,0,0.0,,,,0.0,2023-05-07,,+1-205-431-0033,5562022971,davidcaldwell@example.net
Inactive,1000000032,Marshall LLC,SAP-P49,"Marelli Germany, Marelli EPT Cologne, Marelli Italy",0.0,0,-0.0,,,,0.0,2021-01-09,,001-852-599-1241x90496,2480494696,vargasmaria@example.org
Active,1000000033,Terry LLC,"SAP-P49, SAP-P49-WF","Marelli Italy, Marelli Japan, Marelli Germany",995597.04,221,484743.19,26.0,77.22,1.0,6301.25,2023-01-06,,+1-991-390-5865x18506,5696689490,oyu@example.com
Active,1000000034,"Hernandez, Thompson and Boyd","SAP-P49, SAP-P49-WF",Marelli Poland,1002910.61,400,229673.72,81.0,77.13,28.0,2238.64,2023-04-02,,+1-949-587-7694x5314,5218981883,qhudson@example.com
Active,1000000035,Johnson-Rosales,SAP-P49,,1004438.74,416,-427846.05,32.0,35.85,28.0,4737.92,2021-02-09,,(273)554-5494,7065315510,allenrichard@example.net
Inactive,1000000036,Vaughn Ltd,"SAP-P49, SAP-P49-WF",,992459.23,416,-433150.54,41.0,31.1,8.0,12103.16,2024-11-26,,001-977-701-4363x495,2464267211,jbarajas@example.com
Inactive,1000000037,Warner-Nelson,SAP-P49,"Marelli Poland, Marelli Japan, Marelli Germany, Marelli PWT Slovakia",1005498.23,13,-175777.86,34.0,72.96,12.0,5949.69,2022-07-14,,631-335-1823x374,5712367662,kennethward@example.com
Inactive,1000000038,Erickson and Sons,SAP-P49-WF,"Marelli Japan, Marelli Italy, Marelli Poland, Marelli PWT Slovakia",1004173.98,60,-27901.05,43.0,11.96,5.0,3369.71,2022-06-17,,900-984-2710x947,2164313448,jack04@example.com
Inactive,1000000039,Short Group,"SAP-P49, SAP-P49-WF",,1001482.81,224,213560.99,87.0,76.08,16.0,16691.38,2023-02-17,,519.802.2941x3186,2816382164,tkerr@example.net
Inactive,1000000040,Torres-Oliver,SAP-P49,"Marelli Japan, Marelli Germany, Marelli Poland, Marelli Italy, Marelli PWT Slovakia",0.0,0,0.0,,,,0.0,2024-09-11,,+1-213-834-1232x812,5954680749,enorris@example.com
Active,1000000041,Hall Ltd,"SAP-P49, SAP-P49-WF",,999820.87,260,22728.76,49.0,42.75,21.0,4761.05,2022-10-20,,471-334-9361x8324,8023263839,martinkyle@example.net
Active,1000000042,"Morse, Gonzales and Harrison",SAP-P49,"Marelli Japan, Marelli Germany, Marelli Poland, Marelli Italy",0.0,0,-0.0,,,,0.0,2020-12-21,,664-288-7719x0659,3305133025,perezemily@example.net
Inactive,1000000043,"Sampson, Key and Chambers",SAP-P49-WF,"Marelli Germany, Marelli Italy, Marelli EPT Cologne, Marelli Poland, Marelli PWT Slovakia, Marelli Japan",0.0,0,-0.0,,,,0.0,2023-11-11,,390-927-8742x967,4659704951,ricky51@example.org
Active,1000000044,Jenkins-Simpson,"SAP-P49, SAP-P49-WF","Marelli Germany, Marelli PWT Slovakia",0.0,0,-0.0,,,,0.0,2022-05-06,,+1-968-807-1545x16808,6225973072,lopezmichael@example.com
Active,1000000045,"Ramos, Williams and Adams",SAP-P49-WF,"Marelli Italy, Marelli Germany, Marelli EPT Cologne, Marelli Japan, Marelli Poland, Marelli PWT Slovakia",1007823.22,76,137477.58,10.0,31.44,28.0,2617.72,2021-07-27,,(647)271-0932,5343290246,hdavis@example.com
Inactive,1000000046,Holland and Sons,SAP-P49,Marelli EPT Cologne,0.0,0,0.0,,,,0.0,2023-07-30,,448.346.7737x8263,4557448275,kendra65@example.net
Inactive,1000000047,Hoover-Campbell,"SAP-P49, SAP-P49-WF",,998901.64,457,-89518.65,74.0,75.56,13.0,2344.84,2024-01-17,,999-772-7875x5886,8210151701,tinaallen@example.com
Inactive,1000000048,Chase Group,SAP-P49-WF,"Marelli Japan, Marelli Poland",0.0,0,-0.0,,,,0.0,2023-11-23,,7573662702,8376295688,dgarcia@example.org
Inactive,1000000049,"Thomas, Pitts and Booker",SAP-P49,,0.0,0,-0.0,,,,0.0,2022-06-30,,874-759-6158,3442454249,cbrennan@example.net
Active,1000000050,Young Ltd,SAP-P49,"Marelli Japan, Marelli Germany, Marelli Italy, Marelli PWT Slovakia",1001785.56,213,-210623.96,62.0,16.12,10.0,3603.55,2023-08-02,,631-761-1724x0050,3785736801,ryan38@example.com
Inactive,1000000051,"Maldonado, White and Thompson",SAP-P49-WF,,0.0,0,0.0,,,,0.0,2024-11-14,,+1-269-937-9237x474,6378856441,erica21@example.com
Inactive,1000000052,Huerta-Evans,SAP-P49-WF,"Marelli Poland, Marelli EPT Cologne, Marelli Italy",1002507.24,276,372391.93,79.0,80.37,25.0,3244.36,2022-03-17,,(647)243-6713x69594,4096929709,khill@example.net
Inactive,1000000053,"Beltran, Lozano and Mcgee",SAP-P49,"Marelli Japan, Marelli EPT Cologne, Marelli Germany, Marelli Italy, Marelli PWT Slovakia, Marelli Poland",0.0,0,-0.0,,,,0.0,2023-03-07,,239-753-3942x1047,4847562332,christopherphillips@example.net
Inactive,1000000054,Thompson-Anderson,SAP-P49,,0.0,0,0.0,,,,0.0,2021-04-02,,+1-758-384-2474,3117362906,jmccarty@example.org
Inactive,1000000055,"Ramsey, Whitney and Coffey",SAP-P49-WF,"Marelli Poland, Marelli EPT Cologne, Marelli Japan, Marelli PWT Slovakia",0.0,0,0.0,,,,0.0,2021-01-29,,+1-751-660-4817,6518673304,xcarson@example.org
Active,1000000056,"Hall, Johnson and Henson","SAP-P49, SAP-P49-WF","Marelli PWT Slovakia, Marelli Japan, Marelli Germany, Marelli Italy, Marelli Poland, Marelli EPT Cologne",1005790.93,123,309220.52,26.0,89.61,15.0,2932.34,2021-08-12,,+1-459-231-7461,8717198234,torrestravis@example.org
Inactive,1000000057,Clay and Sons,SAP-P49-WF,"Marelli Japan, Marelli PWT Slovakia, Marelli Germany, Marelli EPT Cologne, Marelli Italy",0.0,0,-0.0,,,,0.0,2021-02-11,,(275)786-9261x7964,5989540079,scottsampson@example.com
Inactive,1000000058,Pollard LLC,SAP-P49-WF,,998716.85,102,-72798.68,19.0,81.8,18.0,2821.23,2024-06-27,,+1-550-264-3171,3043030219,buchananjohn@example.org
Inactive,1000000059,"Harris, Gallegos and Spencer","SAP-P49, SAP-P49-WF",Marelli Italy,998160.87,401,360067.15,15.0,0.7,11.0,3656.27,2023-05-17,,001-433-652-9042,4841212574,danieldelacruz@example.org
Inactive,1000000060,Howard and Sons,SAP-P49,,0.0,0,0.0,,,,0.0,2023-09-20,,001-350-324-0268,2453286047,xwest@example.net
Inactive,1000000061,"Rodriguez, Gordon and Dougherty","SAP-P49, SAP-P49-WF","Marelli Japan, Marelli Italy",992923.15,495,-377444.48,44.0,33.76,19.0,2398.37,2023-12-28,,3849700766,5327059744,fjones@example.com
Inactive,1000000062,"Hernandez, Martinez and Weber",SAP-P49-WF,,0.0,0,0.0,,,,0.0,2021-06-16,,001-885-369-8478,7492955050,farrelldebra@example.net
Inactive,1000000063,"Glenn, Jordan and Beasley","SAP-P49, SAP-P49-WF","Marelli Poland, Marelli PWT Slovakia, Marelli EPT Cologne, Marelli Germany",0.0,0,-0.0,,,,0.0,2023-09-15,,(357)366-1565x45271,2911047878,reynoldsjulie@example.com
Inactive,1000000064,Hawkins PLC,SAP-P49-WF,,997896.77,360,18751.1,45.0,70.3,17.0,166316.13,2023-11-14,,+1-685-716-5604,6071897855,lanejason@example.net
Inactive,1000000065,Walker-Rodriguez,SAP-P49-WF,"Marelli Japan, Marelli EPT Cologne",0.0,0,-0.0,,,,0.0,2024-12-17,,+1-251-649-3689,4108061638,whitejacqueline@example.com
Active,1000000066,Bell-White,SAP-P49-WF,"Marelli Germany, Marelli Poland, Marelli Italy, Marelli Japan, Marelli EPT Cologne, Marelli PWT Slovakia",999907.25,382,-199103.22,80.0,28.48,10.0,5524.35,2024-11-29,,(896)812-0183,3948821144,xpeterson@example.com
Active,1000000067,"Nguyen, Pugh and Carlson",SAP-P49,,0.0,0,-0.0,,,,0.0,2021-08-22,,9229901476,4964229963,wnelson@example.net
Inactive,1000000068,Reed Inc,SAP-P49-WF,,0.0,0,0.0,,,,0.0,2023-11-30,,597-484-0369x0034,4563196782,keith10@example.com
Active,1000000069,"Jordan, Anderson and Patel",SAP-P49-WF,"Marelli Poland, Marelli PWT Slovakia",991632.48,363,2656.61,78.0,5.15,4.0,7032.85,2021-03-24,,988.351.6060,6184564943,barbara96@example.net
Active,1000000070,"Butler, Wilson and Smith","SAP-P49, SAP-P49-WF",,1002388.77,252,-261060.24,23.0,14.49,27.0,143198.4,2024-03-10,,829-675-1613x69681,3221228183,jeffrey21@example.net
Inactive,1000000071,"Wilson, Hicks and Bullock",SAP-P49,,0.0,0,-0.0,,,,0.0,2023-08-26,,(452)931-2432x921,6784967893,wwebster@example.net
Inactive,1000000072,Maldonado-Macias,SAP-P49,"Marelli PWT Slovakia, Marelli Germany, Marelli Italy, Marelli Poland, Marelli EPT Cologne, Marelli Japan",0.0,0,0.0,,,,0.0,2021-08-20,,+1-795-352-7177x4490,8691872789,steven00@example.com
Active,1000000073,Jones-Lin,"SAP-P49, SAP-P49-WF","Marelli Poland, Marelli Italy, Marelli EPT Cologne, Marelli Germany",0.0,0,-0.0,,,,0.0,2024-06-14,,999-586-7980,6553654553,cassidy82@example.org
Active,1000000074,Garcia-Nolan,SAP-P49,"Marelli Japan, Marelli PWT Slovakia, Marelli Germany",998704.86,123,171912.61,32.0,76.16,17.0,25607.82,2021-11-06,,618-820-3778x89255,2011492228,rschroeder@example.net
Inactive,1000000075,Mccormick Ltd,SAP-P49-WF,"Marelli Japan, Marelli Poland, Marelli EPT Cologne",0.0,0,-0.0,,,,0.0,2024-10-28,,715-618-6449x25192,7297514962,tanderson@example.org
Active,1000000076,Hansen-Schneider,SAP-P49-WF,"Marelli Japan, Marelli Germany",0.0,0,0.0,,,,0.0,2022-06-18,,528-516-8505x42357,5550353879,ericphillips@example.org
Active,1000000077,"Wise, Conley and Stephenson",SAP-P49-WF,"Marelli Poland, Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Germany, Marelli Japan",0.0,0,-0.0,,,,0.0,2023-03-25,,4599296222,6048763701,jenkinserica@example.org
Inactive,1000000078,Bishop-Goodwin,SAP-P49-WF,Marelli EPT Cologne,1007026.03,377,36026.04,51.0,9.03,19.0,7806.4,2021-02-11,,838.834.7359x774,2392246075,lisasolis@example.org
Active,1000000079,Williams-Castillo,"SAP-P49, SAP-P49-WF",,1006961.63,296,337636.75,15.0,32.08,24.0,2595.26,2021-12-14,,(881)381-4124x782,8315753018,lisawilkerson@example.org
Inactive,1000000080,Brown-Shaw,SAP-P49,,1008533.02,224,-487537.14,72.0,51.21,2.0,4184.78,2022-12-03,,461.453.0515,3753841806,mitchellmaria@example.net
Active,1000000081,Blake Group,SAP-P49,"Marelli EPT Cologne, Marelli Poland, Marelli Japan, Marelli Italy, Marelli PWT Slovakia, Marelli Germany",0.0,0,-0.0,,,,0.0,2022-09-26,,390.610.4328x986,3084044883,kevinwilliams@example.com
Inactive,1000000082,"Bauer, Bryant and Rodriguez","SAP-P49, SAP-P49-WF",,0.0,0,0.0,,,,0.0,2024-08-28,,598.808.9324x6095,3984173391,elizabethmiller@example.com
Inactive,1000000083,Ashley PLC,"SAP-P49, SAP-P49-WF",,0.0,0,-0.0,,,,0.0,2023-06-14,,588.306.7065x40515,5264134595,dennis58@example.com
Active,1000000084,"Thompson, Maxwell and Marshall",SAP-P49-WF,"Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Italy, Marelli Poland, Marelli Japan, Marelli Germany",0.0,0,0.0,,,,0.0,2024-01-23,,001-772-621-7043x030,6353698756,ihays@example.com
Active,1000000085,Johnson-Lucas,SAP-P49,Marelli Japan,0.0,0,-0.0,,,,0.0,2021-11-01,,950-954-1566x7652,8435473873,sandra84@example.org
Inactive,1000000086,"Coleman, Jordan and Carney",SAP-P49-WF,,1004367.95,242,438637.6,41.0,13.75,14.0,3549.0,2021-10-13,,(984)851-1544,3647489488,hannahbell@example.org
Active,1000000087,"Berg, Gomez and Bolton",SAP-P49,"Marelli Poland, Marelli Italy, Marelli Japan, Marelli PWT Slovakia",996083.73,145,423030.4,48.0,87.73,26.0,3309.25,2024-03-22,,401-365-8202x970,8397956637,kimberlydiaz@example.com
Inactive,1000000088,"Johnson, Hernandez and Cole",SAP-P49-WF,"Marelli EPT Cologne, Marelli Japan, Marelli Poland, Marelli PWT Slovakia, Marelli Italy",0.0,0,-0.0,,,,0.0,2023-02-13,,(357)219-2856x543,7298110429,victorhughes@example.net
Active,1000000089,Green LLC,SAP-P49-WF,,998389.69,362,159726.42,58.0,81.72,12.0,2936.44,2024-08-17,,001-973-394-7312x172,6212581940,elizabeth18@example.net
Active,1000000090,Vance-York,SAP-P49,"Marelli Poland, Marelli PWT Slovakia, Marelli EPT Cologne, Marelli Italy, Marelli Germany",0.0,0,0.0,,,,0.0,2021-10-12,,001-725-983-1323x705,8055812136,cherylmiller@example.com
Active,1000000091,Key-Higgins,SAP-P49,"Marelli Poland, Marelli Italy, Marelli EPT Cologne",991962.58,333,-403626.83,20.0,89.72,27.0,5869.6,2024-10-02,,466.491.2517x78528,7927095310,dshaw@example.org
Inactive,1000000092,"Hernandez, Martin and Morris","SAP-P49, SAP-P49-WF",Marelli Germany,0.0,0,0.0,,,,0.0,2024-10-22,,001-335-484-1438x424,5955360459,georgeweber@example.net
Active,1000000093,Kirby-Elliott,SAP-P49-WF,,1000923.17,390,133224.33,22.0,33.9,14.0,11638.64,2024-11-11,,2109943969,7581164388,dawn47@example.org
Inactive,1000000094,"Sullivan, Chavez and Barker",SAP-P49,"Marelli EPT Cologne, Marelli Germany, Marelli Italy",0.0,0,-0.0,,,,0.0,2023-04-13,,(776)777-3592,8725609913,theresa25@example.net
Active,1000000095,"Rodriguez, Allen and Martinez",SAP-P49,"Marelli Italy, Marelli Germany, Marelli EPT Cologne, Marelli Poland",1002609.71,74,388096.61,39.0,77.99,14.0,3066.08,2022-05-25,,732.510.4696x325,3973840352,tyronerobertson@example.com
Inactive,1000000096,Jimenez-Davis,SAP-P49-WF,"Marelli PWT Slovakia, Marelli EPT Cologne",1001484.92,484,142242.55,54.0,8.41,18.0,6503.15,2024-07-21,,(687)233-9500x4797,6131883494,jordannicole@example.net
Inactive,1000000097,Gallagher-Diaz,SAP-P49-WF,"Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Germany, Marelli Japan",1001465.36,293,-495663.68,55.0,16.08,18.0,6588.59,2024-11-22,,(609)383-5841x6878,3268006545,theresalong@example.com
Inactive,1000000098,"Mcmillan, Fischer and Gonzalez",SAP-P49-WF,"Marelli Japan, Marelli PWT Slovakia, Marelli EPT Cologne, Marelli Germany, Marelli Italy, Marelli Poland",996428.24,113,48559.72,34.0,69.19,19.0,7724.25,2024-10-09,,468.700.0257x87298,6882429736,francisco94@example.net
Active,1000000099,Romero-Hicks,SAP-P49-WF,,0.0,0,0.0,,,,0.0,2024-03-21,,994.670.5516x9409,7862034452,jennifersilva@example.org
Inactive,1000000100,"Fuller, Harvey and Randall",SAP-P49-WF,,0.0,0,-0.0,,,,0.0,2022-02-05,,(830)491-3075,6862589397,avaughn@example.net
Inactive,1000000101,"Knapp, Salas and Fitzgerald","SAP-P49, SAP-P49-WF","Marelli Germany, Marelli Poland, Marelli EPT Cologne",995126.59,496,-173749.4,47.0,74.65,23.0,2231.23,2022-11-14,,7284385786,5454152577,vbarr@example.net
Active,1000000102,Lowe-Dillon,SAP-P49,,0.0,0,0.0,,,,0.0,2024-10-06,,+1-749-973-3484x34437,6208819977,ann44@example.org
Inactive,1000000103,"Rhodes, James and Baird",SAP-P49,,1003935.42,8,350597.75,43.0,65.76,17.0,15686.49,2023-07-10,,(624)604-1574x733,7878030756,danielyang@example.org
Inactive,1000000104,Williams PLC,"SAP-P49, SAP-P49-WF","Marelli Poland, Marelli PWT Slovakia, Marelli Germany, Marelli EPT Cologne, Marelli Italy, Marelli Japan",995661.79,469,-131710.32,88.0,26.52,7.0,2998.98,2021-04-29,,230.416.5712,8288981256,edelgado@example.com
Inactive,1000000105,"Gonzalez, Maynard and Morris",SAP-P49,Marelli Poland,1000729.31,253,-256197.07,24.0,97.3,3.0,8270.49,2023-12-26,,+1-401-693-8026x2067,2582672759,smithashley@example.org
Inactive,1000000106,Mitchell-Hays,"SAP-P49, SAP-P49-WF",,0.0,0,-0.0,,,,0.0,2023-04-19,,+1-787-428-7431,4812868256,twong@example.org
Inactive,1000000107,Doyle LLC,SAP-P49-WF,"Marelli Germany, Marelli EPT Cologne, Marelli Italy",1001383.45,487,295219.16,40.0,50.26,27.0,5383.78,2021-07-12,,001-832-396-6851,7872659033,tinawoods@example.org
Inactive,1000000108,Green and Sons,SAP-P49,"Marelli PWT Slovakia, Marelli EPT Cologne",1004135.92,47,77221.95,37.0,49.25,20.0,3061.39,2024-04-26,,945.649.9045x301,6170814130,richardshaw@example.net
Inactive,1000000109,Vaughn-Fowler,SAP-P49,,0.0,0,-0.0,,,,0.0,2024-02-20,,959-533-2727x9568,2881351347,erinlarson@example.org
Active,1000000110,"Griffin, Padilla and Miller","SAP-P49, SAP-P49-WF","Marelli Poland, Marelli Germany",995184.92,404,-473393.58,86.0,64.55,0.0,7008.34,2021-10-13,,001-410-788-3982,6241397604,nwilson@example.net
Active,1000000111,"Burns, Nolan and Griffin",SAP-P49,Marelli Germany,1004885.9,8,-324466.93,55.0,94.05,25.0,2487.34,2022-04-22,,9726867908,4529104154,fosterlisa@example.net
Inactive,1000000112,Lane Inc,SAP-P49,"Marelli Italy, Marelli PWT Slovakia, Marelli Japan, Marelli Germany",0.0,0,0.0,,,,0.0,2023-01-01,,(851)980-1704x62265,8499307639,rbennett@example.net
Active,1000000113,"Anderson, Dalton and Wilson","SAP-P49, SAP-P49-WF","Marelli Italy, Marelli Poland, Marelli EPT Cologne, Marelli Japan, Marelli PWT Slovakia, Marelli Germany",0.0,0,0.0,,,,0.0,2023-03-23,,+1-868-823-0047,8125798663,johnreed@example.com
Inactive,1000000114,Pineda Ltd,SAP-P49,,0.0,0,-0.0,,,,0.0,2024-05-19,,001-210-569-0331x19079,2637089073,moralesjimmy@example.org
Inactive,1000000115,Taylor LLC,SAP-P49-WF,,0.0,0,-0.0,,,,0.0,2022-08-16,,595.899.5342,8243660294,joshua89@example.net
Active,1000000116,Garrett Group,"SAP-P49, SAP-P49-WF","Marelli Japan, Marelli Italy, Marelli Germany, Marelli EPT Cologne, Marelli Poland, Marelli PWT Slovakia",999379.34,212,466365.19,53.0,96.36,26.0,4289.18,2023-03-17,,+1-470-656-8566,8081629354,iwhite@example.com
Inactive,1000000117,Atkinson LLC,SAP-P49-WF,"Marelli Germany, Marelli EPT Cologne, Marelli PWT Slovakia",0.0,0,0.0,,,,0.0,2021-06-13,,001-627-508-6688x263,2400420342,deborah75@example.org
Inactive,1000000118,"Hardy, Lee and Adams",SAP-P49,"Marelli Italy, Marelli Japan, Marelli Poland, Marelli EPT Cologne, Marelli PWT Slovakia",0.0,0,-0.0,,,,0.0,2022-12-15,,+1-599-501-3983x73540,8111467372,burgesskaren@example.org
Active,1000000119,"Munoz, Harris and Herman",SAP-P49-WF,"Marelli PWT Slovakia, Marelli Italy, Marelli Germany",1003701.7,80,-115327.61,71.0,85.11,7.0,2312.68,2021-07-30,,+1-754-967-8544,7798695557,ugarcia@example.com
Active,1000000120,Rocha-Wood,SAP-P49-WF,"Marelli Italy, Marelli Japan, Marelli PWT Slovakia, Marelli Poland",995369.77,476,56538.26,44.0,93.62,0.0,10702.9,2022-07-03,,(709)532-0489x96423,7622046520,phudson@example.com
Active,1000000121,"Pena, Cohen and Scott",SAP-P49,,0.0,0,0.0,,,,0.0,2024-08-28,,277.325.2287x2808,3721355794,duranrobert@example.net
Active,1000000122,Jones and Sons,SAP-P49,,0.0,0,0.0,,,,0.0,2023-01-30,,9382750997,3803166938,patelrobert@example.org
Inactive,1000000123,"Bowen, Nichols and Mitchell",SAP-P49-WF,,0.0,0,-0.0,,,,0.0,2024-02-26,,862.311.8233x98454,4560761751,susan79@example.org
Active,1000000124,"Perez, Sutton and Abbott",SAP-P49,,997435.17,26,114712.25,20.0,99.01,8.0,4393.99,2024-09-06,,+1-801-766-6870x0217,3821129702,jacobsonsamantha@example.org
Inactive,1000000125,Valenzuela Ltd,SAP-P49-WF,"Marelli PWT Slovakia, Marelli Poland, Marelli EPT Cologne, Marelli Japan, Marelli Germany",1000291.04,348,377482.9,85.0,74.08,15.0,3704.78,2024-09-17,,001-474-701-4890,3324651326,alibrenda@example.net
