InvoiceDetails_ID,UploadedDate,FileID,Batch_Seq,OrganisationLevelId,UserId,IsDuplicate,DupStatus_Update,DupStatus_Remarks,ActionTaken,RootCause,ExcelRowNo,fldInvoiceNo,fldInvoiceDate,fldInvoiceAmount,fldPO_VocherNo,fldVendorNo,fldDueDate,fldPaymentDate,fldDocumentNo,fldUnit,fldAuthorizedBy,fldVendorName,fldRemittance,fldCloseStatus,fldImageFileNo,fldChequeNo,fldTransactions,fldBatchNo,fldGoodsAmountBase,fldVATTotalBase,fldTransTotalBase,fldOutstandingBase,DupRules,CreatedOn,ModifiedOn,IsCompleted,IsYank,YankUser,ManuallyMovedToHist,WithinFileDuplicate,InvoiceDetails_Temp_ID,AuditedBy,AuditedOn
16673161,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,11,B240530700-24,7/17/2024,67.31,4203583681,700006,NULL,7/18/2024,5109268094,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704160,NULL,NULL
16673162,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,12,B240530699-24,7/17/2024,156.24,4203615618,700006,NULL,7/18/2024,5109268095,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704161,NULL,NULL
16673163,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,13,M91525,7/16/2024,5798.9,4203416969,704145,NULL,7/18/2024,5109268096,P1A-9224,VH,ESSENCEMEDICOM HOLDINGS LIMITE,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704162,NULL,NULL
16673164,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,14,B240530708-24,7/17/2024,26.23,4203614135,700006,NULL,7/18/2024,5109268097,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704163,NULL,NULL
16673165,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,15,B240530710-24,7/17/2024,134.62,4203598008,700006,NULL,7/18/2024,5109268098,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704164,NULL,NULL
16673166,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,16,B240530725-24,7/17/2024,7.56,4203609201,700006,NULL,7/18/2024,5109268099,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704165,NULL,NULL
16673167,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,17,B240530723-24,7/17/2024,119.2,4203617096,700006,NULL,7/18/2024,5109268100,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704166,NULL,NULL
16673168,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,18,B240530684-24,7/17/2024,221.77,4203609252,700006,NULL,7/18/2024,5109268101,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704167,NULL,NULL
16673169,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,19,B240530690-24,7/17/2024,12.17,4203609590,700006,NULL,7/18/2024,5109268102,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704168,NULL,NULL
16673170,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,20,B240530692-24,7/17/2024,173.76,4203615910,700006,NULL,7/18/2024,5109268103,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704169,NULL,NULL
16673171,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,21,B240530688-24,7/17/2024,239.15,4203609583,700006,NULL,7/18/2024,5109268104,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704170,NULL,NULL
16673172,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,22,B240530696-24,7/17/2024,74.4,4203615906,700006,NULL,7/18/2024,5109268105,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704171,NULL,NULL
16673173,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,23,B240530702-24,7/17/2024,161.64,4203617674,700006,NULL,7/18/2024,5109268106,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704172,NULL,NULL
16673174,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,24,B240530952-24,7/17/2024,48,4203617465,700006,NULL,7/18/2024,5109268107,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704173,NULL,NULL
16673175,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,25,B240530704-24,7/17/2024,199.16,4203609081,700006,NULL,7/18/2024,5109268108,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704174,NULL,NULL
16673176,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,26,B240530706-24,7/17/2024,61.9,4203609766,700006,NULL,7/18/2024,5109268109,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704175,NULL,NULL
16673177,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,27,B240530709-24,7/17/2024,94.31,4203614141,700006,NULL,7/18/2024,5109268110,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704176,NULL,NULL
16673178,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,28,B240530689-24,7/17/2024,235.33,4203609582,700006,NULL,7/18/2024,5109268111,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704177,NULL,NULL
16673179,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,29,B240530691-24,7/17/2024,237.38,4203615902,700006,NULL,7/18/2024,5109268112,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704178,NULL,NULL
16673180,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,30,B240530695-24,7/17/2024,227.53,4203615897,700006,NULL,7/18/2024,5109268113,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704179,NULL,NULL
16673181,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,31,B240530954-24,7/17/2024,90,4203617459,700006,NULL,7/18/2024,5109268114,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704180,NULL,NULL
16673182,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,32,B240530703-24,7/17/2024,121.03,4203617671,700006,NULL,7/18/2024,5109268115,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704181,NULL,NULL
16673183,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,33,B240530705-24,7/17/2024,229.37,4203609076,700006,NULL,7/18/2024,5109268116,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704182,NULL,NULL
16673184,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,34,B240530713-24,7/17/2024,167.5,4203608804,700006,NULL,7/18/2024,5109268117,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704183,NULL,NULL
16673185,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,35,B240530711-24,7/17/2024,90.48,4203613580,700006,NULL,7/18/2024,5109268118,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704184,NULL,NULL
16673186,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,36,B240530715-24,7/17/2024,78.98,4203611315,700006,NULL,7/18/2024,5109268119,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704185,NULL,NULL
16673187,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,37,B240530719-24,7/17/2024,960,4203609229,700006,NULL,7/18/2024,5109268120,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704186,NULL,NULL
16673188,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,38,B240530707-24,7/17/2024,68.04,4203609771,700006,NULL,7/18/2024,5109268121,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704187,NULL,NULL
16673189,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,39,B240530716-24,7/17/2024,218.33,4203611314,700006,NULL,7/18/2024,5109268122,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704188,NULL,NULL
16673190,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,40,B240530718-24,7/17/2024,957.85,4203615795,700006,NULL,7/18/2024,5109268123,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704189,NULL,NULL
16673191,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,41,B240530721-24,7/17/2024,85.3,4203616192,700006,NULL,7/18/2024,5109268124,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704190,NULL,NULL
16673192,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,42,B240530724-24,7/17/2024,56.86,4203617249,700006,NULL,7/18/2024,5109268125,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704191,NULL,NULL
16673193,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,43,B240530729-24,7/17/2024,88.15,4203615840,700006,NULL,7/18/2024,5109268126,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704192,NULL,NULL
16673194,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,44,B240530730-24,7/17/2024,6.77,4203613409,700006,NULL,7/18/2024,5109268127,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704193,NULL,NULL
16673195,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,45,B240530733-24,7/17/2024,143.12,4203611209,700006,NULL,7/18/2024,5109268128,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704194,NULL,NULL
16673196,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,46,B240530736-24,7/17/2024,206.4,4203614558,700006,NULL,7/18/2024,5109268129,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704195,NULL,NULL
16673197,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,47,B240530739-24,7/17/2024,114.95,4203612797,700006,NULL,7/18/2024,5109268130,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704196,NULL,NULL
16673198,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,48,B240530714-24,7/17/2024,85.3,4203611324,700006,NULL,7/18/2024,5109268131,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704197,NULL,NULL
16673199,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,49,B240530717-24,7/17/2024,14.29,4203611321,700006,NULL,7/18/2024,5109268132,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704198,NULL,NULL
16673200,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,50,B240530722-24,7/17/2024,115.93,4203616186,700006,NULL,7/18/2024,5109268133,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704199,NULL,NULL
16673201,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,51,B240530728-24,7/17/2024,167.76,4203609178,700006,NULL,7/18/2024,5109268134,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704200,NULL,NULL
16673202,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,52,B240530735-24,7/17/2024,237.2,4203614560,700006,NULL,7/18/2024,5109268135,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704201,NULL,NULL
16673203,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,53,B240530738-24,7/17/2024,74.9,4203612061,700006,NULL,7/18/2024,5109268136,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704202,NULL,NULL
16673204,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,54,B240530740-24,7/17/2024,57.12,4203607790,700006,NULL,7/18/2024,5109268137,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704203,NULL,NULL
16673205,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,55,B240530747-24,7/17/2024,52.46,4203616188,700006,NULL,7/18/2024,5109268138,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704204,NULL,NULL
16673206,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,56,B240530746-24,7/17/2024,10.8,4203614026,700006,NULL,7/18/2024,5109268139,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704205,NULL,NULL
16673207,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,57,B240530749-24,7/17/2024,134.62,4203588516,700006,NULL,7/18/2024,5109268140,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704206,NULL,NULL
