fldVendorNo,fldInvoiceDate,fldInvoiceAmount,fldVendorName,fldTransactions,RollingMean,RollingStd,Deviation,Anomaly_SVM,Anomaly_SVM_Label,Currency_Anomaly,Vendor_Name_Anomaly,Currency Anomaly
109029,2024-07-09,2589.44,LIL LETS UK LIMITED,GBP,2046.8566666666666,732.3395704407446,542.5833333333335,1,Normal,Currency Anomaly,Normal,
109029,2024-07-09,11521.6,LIL LETS UK LIMITED,GBP,5482.7733333333335,5231.296856319027,6038.826666666667,1,Normal,Currency Anomaly,Normal,
109266,2024-07-09,78.0,ARLA FOODS LIMITED,GBP,76.5,2.1213203435596424,1.5,1,Normal,Currency Anomaly,Normal,
109371,2024-07-01,3762.14,UNITED DRUG WHOLESALE LIMITED,EUR,3632.64,183.1406563273158,129.5,1,Normal,Currency Anomaly,Normal,
109371,2024-07-02,4113.69,UNITED DRUG WHOLESALE LIMITED,EUR,3792.99,306.4418664282019,320.6999999999998,1,Normal,Currency Anomaly,Normal,
109371,2024-07-02,1678.72,UNITED DRUG WHOLESALE LIMITED,EUR,3184.85,1316.1373535083637,-1506.1299999999999,1,Normal,Currency Anomaly,Normal,
109371,2024-07-02,3177.69,UNITED DRUG WHOLESALE LIMITED,EUR,2990.033333333333,1228.283759411209,187.6566666666672,1,Normal,Currency Anomaly,Normal,
109371,2024-07-02,2849.5,UNITED DRUG WHOLESALE LIMITED,EUR,2568.6366666666668,787.9663217633946,280.86333333333323,1,Normal,Currency Anomaly,Normal,
109371,2024-07-04,668.65,UNITED DRUG WHOLESALE LIMITED,EUR,2231.9466666666663,1363.76299995026,-1563.2966666666662,1,Normal,Currency Anomaly,Normal,
109371,2024-07-04,1661.9,UNITED DRUG WHOLESALE LIMITED,EUR,1726.6833333333334,1091.8673641213632,-64.7833333333333,1,Normal,Currency Anomaly,Normal,
109371,2024-07-04,2194.45,UNITED DRUG WHOLESALE LIMITED,EUR,1508.3333333333333,774.4052239191916,686.1166666666666,1,Normal,Currency Anomaly,Normal,
109371,2024-07-04,2062.95,UNITED DRUG WHOLESALE LIMITED,EUR,1973.0999999999997,277.4115039071018,89.85000000000014,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,7.33,UNITED DRUG WHOLESALE LIMITED,EUR,1421.5766666666668,1226.537112415818,-1414.246666666667,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,7.93,UNITED DRUG WHOLESALE LIMITED,EUR,692.7366666666667,1186.6395931930354,-684.8066666666667,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,4.81,UNITED DRUG WHOLESALE LIMITED,EUR,6.69,1.6555361666699022,-1.8800000000000008,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,4.63,UNITED DRUG WHOLESALE LIMITED,EUR,5.789999999999999,1.855478374746433,-1.1599999999999993,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,3.74,UNITED DRUG WHOLESALE LIMITED,EUR,4.3933333333333335,0.5729165144105748,-0.6533333333333333,-1,Anomaly,Currency Anomaly,Normal,
109371,2024-07-09,15.87,UNITED DRUG WHOLESALE LIMITED,EUR,8.08,6.760998446912459,7.789999999999999,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,4.52,UNITED DRUG WHOLESALE LIMITED,EUR,8.043333333333331,6.78930286056573,-3.5233333333333317,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,5.5,UNITED DRUG WHOLESALE LIMITED,EUR,8.63,6.289141435772687,-3.130000000000001,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,3.78,UNITED DRUG WHOLESALE LIMITED,EUR,4.6,0.8627861839129694,-0.8199999999999998,-1,Anomaly,Currency Anomaly,Normal,
109371,2024-07-09,90.41,UNITED DRUG WHOLESALE LIMITED,EUR,33.23,49.52679981584883,57.18,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,13.52,UNITED DRUG WHOLESALE LIMITED,EUR,35.90333333333333,47.45470928509096,-22.38333333333333,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,7.93,UNITED DRUG WHOLESALE LIMITED,EUR,37.28666666666667,46.09097995630489,-29.35666666666667,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,19.57,UNITED DRUG WHOLESALE LIMITED,EUR,13.673333333333332,5.821514694002633,5.896666666666668,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,11.41,UNITED DRUG WHOLESALE LIMITED,EUR,12.969999999999999,5.974746856491488,-1.5599999999999987,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,4.52,UNITED DRUG WHOLESALE LIMITED,EUR,11.833333333333334,7.533925492894639,-7.313333333333334,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,25.1,UNITED DRUG WHOLESALE LIMITED,EUR,13.676666666666668,10.475563628391964,11.423333333333334,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,249.72,UNITED DRUG WHOLESALE LIMITED,EUR,93.11333333333333,136.01514670555085,156.60666666666668,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,20.66,UNITED DRUG WHOLESALE LIMITED,EUR,98.49333333333334,130.9849492626253,-77.83333333333334,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,36.17,UNITED DRUG WHOLESALE LIMITED,EUR,102.18333333333334,128.00562891268697,-66.01333333333334,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,5.26,UNITED DRUG WHOLESALE LIMITED,EUR,20.696666666666665,15.455032621527922,-15.436666666666666,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,8.3,UNITED DRUG WHOLESALE LIMITED,EUR,16.576666666666664,17.036268175057895,-8.276666666666664,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,21.55,UNITED DRUG WHOLESALE LIMITED,EUR,11.703333333333331,8.661872391838175,9.84666666666667,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,4.52,UNITED DRUG WHOLESALE LIMITED,EUR,11.456666666666663,8.943077397209994,-6.936666666666664,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,112.47,UNITED DRUG WHOLESALE LIMITED,EUR,46.18,58.036870177492936,66.28999999999999,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,484.27,UNITED DRUG WHOLESALE LIMITED,EUR,200.42,251.67720894033937,283.85,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,3.85,UNITED DRUG WHOLESALE LIMITED,EUR,200.1966666666667,251.93812758955832,-196.3466666666667,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,30.59,UNITED DRUG WHOLESALE LIMITED,EUR,172.90333333333334,269.9826989518635,-142.31333333333333,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,224.39,UNITED DRUG WHOLESALE LIMITED,EUR,86.27666666666666,120.35458667343146,138.11333333333334,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,26.27,UNITED DRUG WHOLESALE LIMITED,EUR,93.75,113.15817601923067,-67.48,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,5.22,UNITED DRUG WHOLESALE LIMITED,EUR,85.29333333333334,120.92017049827759,-80.07333333333334,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,20.66,UNITED DRUG WHOLESALE LIMITED,EUR,17.383333333333333,10.900827185699812,3.2766666666666673,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,9.23,UNITED DRUG WHOLESALE LIMITED,EUR,11.703333333333333,8.011643609927342,-2.4733333333333327,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,168.79,UNITED DRUG WHOLESALE LIMITED,EUR,66.22666666666667,89.00611907803031,102.56333333333332,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,48.3,UNITED DRUG WHOLESALE LIMITED,EUR,75.44,83.1702056027228,-27.14,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,10.11,UNITED DRUG WHOLESALE LIMITED,EUR,75.73333333333332,82.82074880929608,-65.62333333333332,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,215.22,UNITED DRUG WHOLESALE LIMITED,EUR,91.21,109.08014988988229,124.01,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,50.37,UNITED DRUG WHOLESALE LIMITED,EUR,91.89999999999999,108.67880980209155,-41.529999999999994,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,7.95,UNITED DRUG WHOLESALE LIMITED,EUR,91.18,109.49568621639479,-83.23,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,15.4,UNITED DRUG WHOLESALE LIMITED,EUR,24.573333333333334,22.64898746815176,-9.173333333333334,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,48.83,UNITED DRUG WHOLESALE LIMITED,EUR,24.060000000000002,21.77246655753918,24.769999999999996,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,6.93,UNITED DRUG WHOLESALE LIMITED,EUR,23.72,22.154441992502584,-16.79,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,13.47,UNITED DRUG WHOLESALE LIMITED,EUR,23.076666666666668,22.54148471890206,-9.606666666666667,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,94.64,UNITED DRUG WHOLESALE LIMITED,EUR,38.34666666666667,48.861001149510855,56.29333333333333,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,106.0,UNITED DRUG WHOLESALE LIMITED,EUR,71.37,50.46355021200134,34.629999999999995,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,1442.83,UNITED DRUG WHOLESALE LIMITED,EUR,547.8233333333334,775.1193214166013,895.0066666666665,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,146.76,UNITED DRUG WHOLESALE LIMITED,EUR,565.1966666666666,760.3259467053143,-418.4366666666666,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,2227.85,UNITED DRUG WHOLESALE LIMITED,EUR,1272.4799999999998,1050.951111565138,955.3700000000001,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,43.33,UNITED DRUG WHOLESALE LIMITED,EUR,805.98,1232.4610192212974,-762.65,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,125.44,UNITED DRUG WHOLESALE LIMITED,EUR,798.8733333333334,1238.2109062810473,-673.4333333333334,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,55.79,UNITED DRUG WHOLESALE LIMITED,EUR,74.85333333333334,44.25009642172989,-19.06333333333334,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,35.99,UNITED DRUG WHOLESALE LIMITED,EUR,72.40666666666668,46.983090929954706,-36.41666666666668,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,52.66,UNITED DRUG WHOLESALE LIMITED,EUR,48.14666666666667,10.643666348227285,4.513333333333328,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,1073.37,UNITED DRUG WHOLESALE LIMITED,EUR,387.34,594.1778714324516,686.03,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,37.52,UNITED DRUG WHOLESALE LIMITED,EUR,387.84999999999997,593.7259954726583,-350.33,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,320.4,UNITED DRUG WHOLESALE LIMITED,EUR,477.09666666666664,535.4079656050444,-156.69666666666666,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,1122.27,UNITED DRUG WHOLESALE LIMITED,EUR,493.3966666666667,562.6868806301889,628.8733333333332,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,88.58,UNITED DRUG WHOLESALE LIMITED,EUR,510.4166666666667,542.40990425446,-421.8366666666667,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,81.15,UNITED DRUG WHOLESALE LIMITED,EUR,430.6666666666667,598.9575771566234,-349.51666666666665,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,14.93,UNITED DRUG WHOLESALE LIMITED,EUR,61.553333333333335,40.547535477913364,-46.623333333333335,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,30.59,UNITED DRUG WHOLESALE LIMITED,EUR,42.223333333333336,34.60885628466575,-11.633333333333336,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,33.71,UNITED DRUG WHOLESALE LIMITED,EUR,26.41,10.063617639761468,7.300000000000001,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,268.26,UNITED DRUG WHOLESALE LIMITED,EUR,110.85333333333334,136.32709794216493,157.40666666666664,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,2316.3,UNITED DRUG WHOLESALE LIMITED,EUR,872.7566666666667,1255.6338805692258,1443.5433333333335,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,13.52,UNITED DRUG WHOLESALE LIMITED,EUR,866.0266666666666,1262.4154121894,-852.5066666666667,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,828.48,UNITED DRUG WHOLESALE LIMITED,EUR,1052.7666666666667,1167.658902990652,-224.28666666666663,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,50.37,UNITED DRUG WHOLESALE LIMITED,EUR,297.45666666666665,460.24864587886935,-247.08666666666664,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,117.87,UNITED DRUG WHOLESALE LIMITED,EUR,332.24,431.07965122468903,-214.37,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,144.59,UNITED DRUG WHOLESALE LIMITED,EUR,104.27666666666669,48.55858454828532,40.31333333333332,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,1562.58,UNITED DRUG WHOLESALE LIMITED,EUR,608.3466666666667,826.4982942712784,954.2333333333332,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,1561.88,UNITED DRUG WHOLESALE LIMITED,EUR,1089.6833333333334,818.4749104482877,472.1966666666667,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,729.19,UNITED DRUG WHOLESALE LIMITED,EUR,1284.55,480.95599559626976,-555.3599999999999,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,625.17,UNITED DRUG WHOLESALE LIMITED,EUR,972.08,513.4228959639407,-346.9100000000001,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,497.36,UNITED DRUG WHOLESALE LIMITED,EUR,617.24,116.11826256020188,-119.88,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,152.38,UNITED DRUG WHOLESALE LIMITED,EUR,424.96999999999997,244.56661689609282,-272.59,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,35.5,UNITED DRUG WHOLESALE LIMITED,EUR,228.41333333333333,240.13426605408455,-192.91333333333333,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,140.98,UNITED DRUG WHOLESALE LIMITED,EUR,109.62,64.44238356858554,31.359999999999985,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,117.38,UNITED DRUG WHOLESALE LIMITED,EUR,97.95333333333333,55.35841519890227,19.426666666666662,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,47.61,UNITED DRUG WHOLESALE LIMITED,EUR,101.99,48.55026570473858,-54.379999999999995,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,85.53,UNITED DRUG WHOLESALE LIMITED,EUR,83.50666666666666,34.928979849604474,2.0233333333333405,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,1903.23,UNITED DRUG WHOLESALE LIMITED,EUR,678.79,1060.5656353097625,1224.44,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,133.8,UNITED DRUG WHOLESALE LIMITED,EUR,707.52,1035.796457466427,-573.72,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,290.84,UNITED DRUG WHOLESALE LIMITED,EUR,775.9566666666666,979.3999522326582,-485.1166666666666,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,268.34,UNITED DRUG WHOLESALE LIMITED,EUR,230.99333333333325,84.9203776094638,37.34666666666672,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,259.96,UNITED DRUG WHOLESALE LIMITED,EUR,273.04666666666657,15.968974085202232,-13.086666666666588,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,112.81,UNITED DRUG WHOLESALE LIMITED,EUR,213.70333333333323,87.4765947744535,-100.89333333333323,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,39.97,UNITED DRUG WHOLESALE LIMITED,EUR,137.57999999999993,112.06723294523125,-97.60999999999993,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,147.21,UNITED DRUG WHOLESALE LIMITED,EUR,99.9966666666666,54.756191735128155,47.21333333333341,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,1163.76,UNITED DRUG WHOLESALE LIMITED,EUR,450.3133333333333,620.1852255845293,713.4466666666667,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,193.09,UNITED DRUG WHOLESALE LIMITED,EUR,501.35333333333324,574.1194889858151,-308.2633333333332,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,294.44,UNITED DRUG WHOLESALE LIMITED,EUR,550.43,533.5711970299747,-255.98999999999995,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,355.11,UNITED DRUG WHOLESALE LIMITED,EUR,280.87999999999994,81.85673643629173,74.23000000000008,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,12.0,UNITED DRUG WHOLESALE LIMITED,EUR,220.51666666666657,183.11092931153496,-208.51666666666657,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,95.28,UNITED DRUG WHOLESALE LIMITED,EUR,154.1299999999999,178.9653874356735,-58.84999999999991,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,82.74,UNITED DRUG WHOLESALE LIMITED,EUR,63.33999999999992,44.90166589338147,19.400000000000077,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,857.47,UNITED DRUG WHOLESALE LIMITED,EUR,345.16333333333324,443.7148898035018,512.3066666666668,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,13.52,UNITED DRUG WHOLESALE LIMITED,EUR,317.9099999999999,468.5526622483331,-304.38999999999993,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,2098.64,UNITED DRUG WHOLESALE LIMITED,EUR,989.8766666666666,1048.8469848520958,1108.7633333333333,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,3140.22,UNITED DRUG WHOLESALE LIMITED,EUR,1750.793333333333,1592.1090415336919,1389.4266666666667,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,4048.83,UNITED DRUG WHOLESALE LIMITED,EUR,3095.896666666666,975.8502330959036,952.9333333333338,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,2159.65,UNITED DRUG WHOLESALE LIMITED,EUR,3116.2333333333336,944.8183890215774,-956.5833333333335,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,38.66,UNITED DRUG WHOLESALE LIMITED,EUR,2082.3799999999997,2006.2013475471492,-2043.7199999999996,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,40.33,UNITED DRUG WHOLESALE LIMITED,EUR,746.2133333333331,1224.072344771065,-705.8833333333331,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,126.8,UNITED DRUG WHOLESALE LIMITED,EUR,68.59666666666651,50.412480928183335,58.20333333333349,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,11.89,UNITED DRUG WHOLESALE LIMITED,EUR,59.673333333333176,59.84730932409966,-47.783333333333175,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,1738.49,UNITED DRUG WHOLESALE LIMITED,EUR,625.7266666666666,965.3925388324344,1112.7633333333333,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,4.96,UNITED DRUG WHOLESALE LIMITED,EUR,585.1133333333332,998.8595034504771,-580.1533333333332,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,90.17,UNITED DRUG WHOLESALE LIMITED,EUR,611.2066666666665,977.1852287224431,-521.0366666666665,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,2298.5,UNITED DRUG WHOLESALE LIMITED,EUR,797.8766666666664,1300.2761158436053,1500.6233333333334,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,132.71,UNITED DRUG WHOLESALE LIMITED,EUR,840.4599999999997,1262.8788121193575,-707.7499999999997,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,1236.24,UNITED DRUG WHOLESALE LIMITED,EUR,1222.483333333333,1082.960532721914,13.756666666667115,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,2547.84,UNITED DRUG WHOLESALE LIMITED,EUR,1305.5966666666664,1209.057893416743,1242.2433333333338,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,190.69,UNITED DRUG WHOLESALE LIMITED,EUR,1324.923333333333,1181.074756665865,-1134.233333333333,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,1791.46,UNITED DRUG WHOLESALE LIMITED,EUR,1509.9966666666662,1203.517858875942,281.4633333333338,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,426.71,UNITED DRUG WHOLESALE LIMITED,EUR,802.9533333333329,864.1674795046,-376.24333333333294,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,2484.27,UNITED DRUG WHOLESALE LIMITED,EUR,1567.4799999999996,1046.906666661359,916.7900000000004,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,42.99,UNITED DRUG WHOLESALE LIMITED,EUR,984.6566666666662,1312.7986790568204,-941.6666666666662,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,285.06,UNITED DRUG WHOLESALE LIMITED,EUR,937.4399999999996,1345.0508384072327,-652.3799999999997,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,293.37,UNITED DRUG WHOLESALE LIMITED,EUR,207.13999999999956,142.21877829598213,86.23000000000044,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,354.67,UNITED DRUG WHOLESALE LIMITED,EUR,311.0333333333329,38.01819345175085,43.63666666666711,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,57.53,UNITED DRUG WHOLESALE LIMITED,EUR,235.18999999999951,156.88125828154756,-177.6599999999995,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,266.74,UNITED DRUG WHOLESALE LIMITED,EUR,226.3133333333329,152.63938362472183,40.4266666666671,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,177.17,UNITED DRUG WHOLESALE LIMITED,EUR,167.1466666666662,104.96454845963548,10.023333333333795,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,3581.21,UNITED DRUG WHOLESALE LIMITED,EUR,1341.7066666666663,1939.9837837552486,2239.503333333334,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,1909.79,UNITED DRUG WHOLESALE LIMITED,EUR,1889.3899999999994,1702.1116885798053,20.400000000000546,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,1935.21,UNITED DRUG WHOLESALE LIMITED,EUR,2475.4033333333327,957.7410047258745,-540.1933333333327,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,4128.38,UNITED DRUG WHOLESALE LIMITED,EUR,2657.793333333333,1273.6288322087119,1470.586666666667,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,20.66,UNITED DRUG WHOLESALE LIMITED,EUR,2028.0833333333328,2055.4342586503053,-2007.4233333333327,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,13.52,UNITED DRUG WHOLESALE LIMITED,EUR,1387.5199999999995,2373.6570728729957,-1373.9999999999995,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,127.69,UNITED DRUG WHOLESALE LIMITED,EUR,53.95666666666606,63.95465763597239,73.73333333333395,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,2392.15,UNITED DRUG WHOLESALE LIMITED,EUR,844.4533333333328,1341.5596990940555,1547.6966666666672,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,2201.39,UNITED DRUG WHOLESALE LIMITED,EUR,1573.7433333333327,1255.9458692687876,627.6466666666672,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,141.72,UNITED DRUG WHOLESALE LIMITED,EUR,1578.4199999999994,1247.8691886171393,-1436.6999999999994,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,264.41,UNITED DRUG WHOLESALE LIMITED,EUR,869.1733333333327,1155.3632087933788,-604.7633333333326,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,68.8,UNITED DRUG WHOLESALE LIMITED,EUR,158.3099999999994,98.85463620893941,-89.50999999999941,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,2276.93,UNITED DRUG WHOLESALE LIMITED,EUR,870.046666666666,1222.3159792923157,1406.8833333333337,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,45.94,UNITED DRUG WHOLESALE LIMITED,EUR,797.2233333333326,1281.514537347639,-751.2833333333326,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,380.08,UNITED DRUG WHOLESALE LIMITED,EUR,900.9833333333327,1203.2598667924283,-520.9033333333327,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,20.66,UNITED DRUG WHOLESALE LIMITED,EUR,148.89333333333272,200.6121275828941,-128.23333333333272,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,135.5,UNITED DRUG WHOLESALE LIMITED,EUR,178.74666666666607,183.57121161373664,-43.24666666666607,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,81.12,UNITED DRUG WHOLESALE LIMITED,EUR,79.09333333333272,57.44681830472115,2.026666666667282,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,512.58,UNITED DRUG WHOLESALE LIMITED,EUR,243.06666666666607,234.98377334049056,269.513333333334,1,Normal,Currency Anomaly,Normal,
109371,2024-07-09,45.94,UNITED DRUG WHOLESALE LIMITED,EUR,213.21333333333277,259.8551691487686,-167.27333333333277,1,Normal,Currency Anomaly,Normal,
