Internal Reference,Invoice Number,Supplier Name,Supplier Reference,Invoice Date,Posting Date,Due Date,Payment Date,Gross Amount,VAT Amount,Currency Code,Debit/Credit
355831891,IN775261,Artic Apples Co._K,V_AR001,2024-09-15,2024-09-18,2024-11-01,2024-11-15,2871.62,574.32,AUD,Dr
618216594,IN847832,Artic Apples Co.,V_AR001,2024-06-29,2024-07-05,2024-08-27,2024-09-19,8518.71,1703.74,GBP,Dr
879683120,IN838160,Artic Apples Co.,V_AR001,2024-05-02,2024-05-09,2024-05-29,2024-06-20,7626.77,1525.35,GBP,Dr
208758510,IN455133,QuickFix Mechanics,V_QU001,2024-09-30,2024-10-10,2024-11-01,2024-11-07,4851.14,970.23,CAD,Dr
706166006,IN323318,Velocity Ventures,V_VE001,2024-08-03,2024-08-03,2024-10-01,2024-10-07,4962.55,992.51,USD,Dr
773701655,IN688837,QuickFix Mechanics,V_QU001,2024-01-28,2024-02-05,2024-02-24,,7761.0,1552.2,CAD,Dr
857417800,IN690182,Velocity Ventures,V_VE001,2024-01-13,2024-01-20,2024-02-19,2024-02-25,529.9,105.98,USD,Dr
728863270,IN220123,Eco Electronics,V_EC001,2024-10-13,2024-10-23,2024-11-24,,2358.96,471.79,JPY,Dr
982657892,IN418073,Blue Banana Inc.,V_BL001,2024-11-28,2024-12-10,2025-01-14,2025-02-07,4830.48,966.1,USD,Dr
449136259,IN159289,Velocity Ventures,V_VE001,2024-06-04,2024-06-12,2024-07-10,2024-07-21,1890.23,378.05,USD,Dr
497504535,IN597877,Global Tech Solutions,V_GL001,2024-04-16,2024-04-23,2024-06-09,2024-07-05,5756.0,1151.2,CAD,Dr
118078615,IN823999,Artic Apples Co.,V_AR001,2024-09-29,2024-09-30,2024-11-06,,185.31,37.06,GBP,Dr
818103878,IN473110,Artic Apples Co.,V_AR001,2024-08-29,2024-09-11,2024-10-24,2024-10-29,1393.32,278.66,GBP,Dr
514462541,IN727243,QuickFix Mechanics,V_QU001,2023-12-18,2023-12-20,2024-01-04,,1640.12,328.02,CAD,Dr
989852691,IN964554,Blue Banana Inc.,V_BL001,2024-05-12,2024-05-18,2024-06-06,2024-06-08,-7598.42,-1519.68,USD,Cr
271903659,IN199329,Global Tech Solutions,V_GL001,2024-01-13,2024-01-25,2024-02-16,2024-03-03,-8806.82,-1761.36,EUR,Cr
675199026,IN963612,Purple Plumbers Limited,V_PU001,2023-12-15,2023-12-16,2024-02-12,2024-03-09,9808.68,1961.74,USD,Dr
569785019,IN613084,Purple Plumbers Limited,V_PU001,2024-02-22,2024-03-08,2024-03-23,2024-03-27,5810.45,1162.09,USD,Dr
115620151,IN753108,Eco Electronics,V_EC001,2024-01-18,2024-01-20,2024-03-07,2024-04-03,9880.91,1976.18,JPY,Dr
135257934,IN489466,Artic Apples Co.,V_AR001,2024-04-03,2024-04-08,2024-05-20,2024-05-21,5919.08,1183.82,GBP,Dr
782017719,IN780836,Purple Plumbers Limited,V_PU001,2024-06-10,2024-06-13,2024-07-15,2024-08-06,1323.44,264.69,USD,Dr
737623346,IN278045,Artic Apples Co.,V_AR001,2024-06-18,2024-06-29,2024-07-04,2024-07-29,8519.82,1703.96,GBP,Dr
439721781,IN909003,Artic Apples Co.,V_AR001,2024-08-19,2024-09-03,2024-09-05,2024-09-27,5169.42,1033.88,GBP,Dr
431631007,IN260440,Artic Apples Co.,V_AR001,2024-03-31,2024-04-12,2024-04-29,2024-05-10,6124.91,1224.98,GBP,Dr
821231723,IN441484,Velocity Ventures,V_VE001,2024-10-25,2024-11-09,2024-11-21,,8078.8,1615.76,USD,Dr
894985534,IN537869,Artic Apples Co.,V_AR001,2024-10-02,2024-10-07,2024-10-28,2024-11-17,5987.37,1197.47,GBP,Dr
393774735,IN264215,Sunny Solutions Ltd.,V_SU001,2024-02-17,2024-02-18,2024-03-14,2024-04-10,2363.53,472.71,AUD,Dr
258886345,IN609199,Velocity Ventures,V_VE001,2024-01-06,2024-01-18,2024-01-21,2024-02-13,6147.97,1229.59,USD,Dr
460620082,IN915062,Purple Plumbers Limited,V_PU001,2024-06-30,2024-07-11,2024-07-16,2024-08-09,6618.71,1323.74,USD,Dr
955682144,IN604171,Global Tech Solutions,V_GL001,2024-07-16,2024-07-31,2024-08-07,2024-08-22,181.08,36.22,EUR,Dr
295438150,IN532982,QuickFix Mechanics,V_QU001,2023-12-07,2023-12-14,2024-01-29,2024-02-18,1510.6425290587968,302.13,CAD,Dr
495423455,IN308068,Purple Plumbers Limited,V_PU001,2024-05-03,2024-05-18,2024-05-26,2024-05-26,5432.46,1086.49,USD,Dr
973773631,IN941181,Artic Apples Co.,V_AR001,2024-03-29,2024-03-30,2024-05-11,2024-05-31,9474.83,1894.97,GBP,Dr
733517819,IN786741,Blue Banana Inc.,V_BL001,2024-08-13,2024-08-26,2024-08-29,2024-09-14,4947.43,989.49,USD,Dr
531793379,IN595717,QuickFix Mechanics,V_QU001,2024-02-28,2024-03-02,2024-04-20,2024-05-11,5081.68,1016.34,CAD,Dr
260182725,IN206449,Velocity Ventures,V_VE001,2024-02-08,2024-02-10,2024-04-08,2024-04-23,3235.41,647.08,USD,Dr
908160736,IN181403,Purple Plumbers Limited,V_PU001,2024-07-01,2024-07-03,2024-08-20,2024-08-30,7046.59,1409.32,USD,Dr
894002645,IN181650,Global Tech Solutions,V_GL001,2024-11-06,2024-11-06,2025-01-04,2025-01-10,862.36,172.47,EUR,Dr
480625430,IN326866,Artic Apples Co.,V_AR001,2024-11-05,2024-11-13,2024-11-29,,688.77,137.75,GBP,Dr
232928354,IN944074,Velocity Ventures,V_VE001,2024-10-23,2024-11-07,2024-11-23,2024-12-20,5484.58,1096.92,USD,Dr
874481697,IN391892,Eco Electronics,V_EC001,2024-11-04,2024-11-17,2024-12-20,2024-12-25,5716.34,1143.27,JPY,Dr
353009357,IN697984,Velocity Ventures,V_VE001,2024-08-05,2024-08-16,2024-08-30,2024-09-10,9844.74,1968.95,USD,Dr
268083404,IN601818,Artic Apples Co.,V_AR001,2024-09-09,2024-09-22,2024-10-19,2024-10-27,9655.2,1931.04,GBP,Dr
406718972,IN258768,Purple Plumbers Limited,V_PU001,2024-05-02,2024-05-07,2024-06-02,2024-06-09,3962.53,792.51,USD,Dr
145304491,IN696857,QuickFix Mechanics,V_QU001,2024-05-02,2024-05-03,2024-06-09,2024-07-01,7456.62,1491.32,CAD,Dr
742916068,IN824438,Purple Plumbers Limited,V_PU001,2024-11-18,2024-11-18,2025-01-10,2025-01-30,1026.83,205.37,USD,Dr
246486784,IN500706,Global Tech Solutions,V_GL001,2023-12-25,2023-12-29,2024-01-27,,7189.88,1437.98,EUR,Dr
126257737,IN468518,Sunny Solutions Ltd.,V_SU001,2024-08-14,2024-08-17,2024-08-29,2024-09-28,6935.42,1387.08,AUD,Dr
112223413,IN502001,Eco Electronics,V_EC001,2024-07-13,2024-07-24,2024-07-29,2024-08-21,7810.67,1562.13,JPY,Dr
484618924,IN156038,Eco Electronics,V_EC001,2024-06-12,2024-06-18,2024-08-07,2024-08-25,3251.23,650.25,JPY,Dr
314629470,IN776457,QuickFix Mechanics_X,V_QU001,2024-05-29,2024-06-06,2024-06-15,2024-06-16,8275.02,1655.0,CAD,Dr
573619424,IN773938,Global Tech Solutions,V_GL001,2024-05-13,2024-05-22,2024-05-29,2024-06-12,3602.6,720.52,EUR,Dr
304509014,IN751418,QuickFix Mechanics,V_QU001,2023-12-07,2023-12-10,2024-01-01,2024-01-11,1666.18,333.24,CAD,Dr
252574517,IN162005,Artic Apples Co.,V_AR001,2024-09-05,2024-09-06,2024-09-20,2024-09-21,2660.89,532.18,GBP,Dr
952909381,IN251578,Purple Plumbers Limited,V_PU001,2024-02-06,2024-02-15,2024-03-25,,74.62,14.92,USD,Dr
896649134,IN580853,Blue Banana Inc.,V_BL001,2024-08-23,2024-08-26,2024-09-28,2024-10-25,4445.63,889.13,USD,Dr
471893025,IN920763,Global Tech Solutions,V_GL001,2024-02-28,2024-03-14,2024-04-13,2024-04-21,885.71,177.14,EUR,Dr
810180709,IN321100,Purple Plumbers Limited,V_PU001,2024-04-11,2024-04-19,2024-06-09,,1148.13,229.63,USD,Dr
612470466,IN710476,Blue Banana Inc.,V_BL001,2024-10-27,2024-11-07,2024-11-18,,9825.89,1965.18,USD,Dr
513002174,IN298330,Purple Plumbers Limited,V_PU001,2024-09-09,2024-09-21,2024-10-14,2024-10-25,2375.19,475.04,USD,Dr
732744113,IN810661,Artic Apples Co.,V_AR001,2024-05-07,2024-05-18,2024-06-28,2024-07-25,9605.34,1921.07,GBP,Dr
599713794,IN606296,Eco Electronics,V_EC001,2024-07-27,2024-08-11,2024-09-06,2024-09-30,5672.58,1134.52,JPY,Dr
706807173,IN906212,Global Tech Solutions,V_GL001,2024-01-26,2024-02-01,2024-02-29,,1016.77,203.35,EUR,Dr
402551670,IN199648,Global Tech Solutions,V_GL001,2024-11-24,2024-12-03,2025-01-08,2025-02-02,8544.23,1708.85,EUR,Dr
814291953,IN196219,Blue Banana Inc.,V_BL001,2024-07-25,2024-08-07,2024-09-10,2024-10-01,7315.86,1463.17,USD,Dr
544800743,IN405952,Purple Plumbers Limited,V_PU001,2024-05-29,2024-06-10,2024-07-15,,9365.32,1873.06,USD,Dr
227303484,IN619416,Eco Electronics_B,V_EC001,2024-10-12,2024-10-21,2024-11-10,2024-12-06,2227.22,445.44,JPY,Dr
978898992,IN132494,QuickFix Mechanics,V_QU001,2024-01-27,2024-02-11,2024-03-09,2024-03-24,4791.41,958.28,CAD,Dr
312964557,IN142557,Global Tech Solutions,V_GL001,2024-12-03,2024-12-11,2025-01-29,2025-02-01,1779.38,355.88,EUR,Dr
889140720,IN376504,Global Tech Solutions,V_GL001,2024-02-25,2024-03-06,2024-04-07,2024-04-16,9210.4,1842.08,EUR,Dr
260475819,IN819867,Purple Plumbers Limited,V_PU001,2024-08-12,2024-08-15,2024-09-23,2024-10-02,-6193.3,-1238.66,USD,Cr
635941322,IN842360,Blue Banana Inc.,V_BL001,2024-05-06,2024-05-16,2024-06-15,2024-07-14,5382.63,1076.53,USD,Dr
444078414,IN262551,Eco Electronics,V_EC001,2024-04-07,2024-04-15,2024-04-26,2024-05-24,5169.13,1033.83,JPY,Dr
122308183,IN904211,Eco Electronics_E,V_EC001,2024-09-25,2024-10-03,2024-11-20,2024-12-20,2436.13,487.23,JPY,Dr
338019730,IN832474,Sunny Solutions Ltd.,V_SU001,2024-07-15,2024-07-29,2024-08-11,,3937.88,787.58,AUD,Dr
419390485,IN383849,Velocity Ventures,V_VE001,2024-10-02,2024-10-09,2024-11-23,2024-12-19,-2799.0,-559.8,USD,Cr
889731976,IN569785,QuickFix Mechanics,V_QU001,2024-03-17,2024-03-28,2024-04-23,2024-05-20,6435.85,1287.17,CAD,Dr
404967108,IN507770,Sunny Solutions Ltd.,V_SU001,2024-10-31,2024-11-03,2024-11-29,2024-12-10,-2442.65,-488.53,AUD,Cr
513998408,IN938645,Global Tech Solutions,V_GL001,2024-03-17,2024-03-27,2024-04-03,2024-04-22,4168.37,833.67,EUR,Dr
700797588,IN974476,Blue Banana Inc.,V_BL001,2024-04-26,2024-04-29,2024-06-12,,2553.85,510.77,USD,Dr
653252935,IN450122,QuickFix Mechanics,V_QU001,2024-03-11,2024-03-21,2024-03-26,2024-04-13,5167.6,1033.52,CAD,Dr
681890672,IN634922,Sunny Solutions Ltd.,V_SU001,2024-10-22,2024-10-25,2024-12-02,,6070.75,1214.15,AUD,Dr
192600902,IN224804,Eco Electronics,V_EC001,2024-02-23,2024-03-08,2024-04-18,2024-05-10,2296.57,459.31,JPY,Dr
173070160,IN399459,Artic Apples Co.,V_AR001,2024-02-28,2024-03-14,2024-03-15,2024-03-20,4843.65,968.73,GBP,Dr
924934638,IN393035,Sunny Solutions Ltd.,V_SU001,2024-08-10,2024-08-17,2024-10-03,2024-10-13,4414.86,882.97,AUD,Dr
732509255,IN522465,Purple Plumbers Limited,V_PU001,2024-02-26,2024-02-26,2024-03-24,2024-04-10,6241.32,1248.26,USD,Dr
933930372,IN368324,Artic Apples Co.,V_AR001,2024-02-25,2024-03-05,2024-04-21,2024-05-17,377.32,75.46,GBP,Dr
709760320,IN230607,Global Tech Solutions,V_GL001,2024-05-08,2024-05-08,2024-06-01,,4457.29,891.46,EUR,Dr
445298401,IN952400,Velocity Ventures,V_VE001,2024-04-30,2024-05-04,2024-05-25,2024-06-15,-7097.01,-1419.4,USD,Cr
292082287,IN863465,Purple Plumbers Limited,V_PU001,2024-10-08,2024-10-08,2024-12-07,2024-12-12,5509.08,1101.82,USD,Dr
428255678,IN950767,Artic Apples Co.,V_AR001,2024-07-24,2024-07-24,2024-08-26,2024-09-22,1735.48,347.1,GBP,Dr
568292040,IN830333,Artic Apples Co.,V_AR001,2024-04-15,2024-04-16,2024-05-28,2024-06-23,-2384.79,-476.96,GBP,Cr
155675335,IN344666,Purple Plumbers Limited,V_PU001,2024-11-01,2024-11-03,2024-11-19,,9737.22,1947.44,USD,Dr
507489711,IN149945,Global Tech Solutions,V_GL001,2023-12-27,2023-12-27,2024-02-25,2024-03-16,908.72,181.74,EUR,Dr
939467784,IN985874,Sunny Solutions Ltd.,V_SU001,2024-04-03,2024-04-18,2024-05-02,2024-05-04,7050.06,1410.01,AUD,Dr
918074062,IN922882,Velocity Ventures,V_VE001,2024-02-20,2024-03-05,2024-03-23,2024-03-23,3886.0,777.2,USD,Dr
226181795,IN841617,QuickFix Mechanics,V_QU001,2024-02-16,2024-02-27,2024-03-26,2024-04-20,2458.28,491.66,CAD,Dr
495366194,IN274893,Purple Plumbers Limited,V_PU001,2024-01-12,2024-01-24,2024-02-14,2024-02-17,41990.177277812065,8398.04,USD,Dr
436135211,IN953341,Sunny Solutions Ltd.,V_SU001,2023-12-27,2024-01-08,2024-02-14,2024-03-06,2597.21,519.44,AUD,Dr
270068805,IN669081,Purple Plumbers Limited,V_PU001,2024-10-29,2024-11-05,2024-11-27,2024-12-08,3056.97,611.39,USD,Dr
978681852,IN504749,Sunny Solutions Ltd.,V_SU001,2024-07-02,2024-07-12,2024-07-17,2024-08-16,6358.91,1271.78,AUD,Dr
810181978,IN566824,Global Tech Solutions,V_GL001,2024-03-04,2024-03-13,2024-04-19,2024-04-26,5914.31,1182.86,EUR,Dr
529423901,IN706280,Purple Plumbers Limited,V_PU001,2024-02-13,2024-02-14,2024-04-12,2024-05-11,3526.78,705.36,USD,Dr
738754306,IN369413,Blue Banana Inc.,V_BL001,2024-06-19,2024-06-20,2024-08-04,2024-08-05,9700.3,1940.06,USD,Dr
224460857,IN160236,Velocity Ventures,V_VE001,2024-01-20,2024-02-02,2024-02-26,2024-03-26,2080.89,416.18,USD,Dr
914712499,IN222188,Eco Electronics,V_EC001,2024-01-04,2024-01-07,2023-12-30,2024-02-16,-6106.86,-1221.37,JPY,Cr
128978672,IN384460,QuickFix Mechanics,V_QU001,2023-12-06,2023-12-13,2023-12-25,2024-01-06,447.36,89.47,CAD,Dr
402503542,IN378246,Purple Plumbers Limited,V_PU001,2024-03-16,2024-03-21,2024-04-05,2024-04-05,9780.58,1956.12,USD,Dr
485890815,IN125102,Blue Banana Inc.,V_BL001,2024-09-30,2024-10-10,2024-11-03,2024-11-03,3383.51,676.7,USD,Dr
255296892,IN347392,Blue Banana Inc.,V_BL001,2024-01-11,2024-01-16,2024-02-18,2024-02-22,3863.2,772.64,USD,Dr
335537731,IN551816,QuickFix Mechanics,V_QU001,2024-06-16,2024-07-01,2024-07-24,2024-07-26,4771.62,954.32,CAD,Dr
504359246,IN231921,Sunny Solutions Ltd.,V_SU001,2024-10-16,2024-10-25,2024-11-22,,-1897.95,-379.59,AUD,Cr
355042592,IN895984,Artic Apples Co.,V_AR001,2023-12-25,2024-01-06,2024-02-13,2024-02-21,7753.35,1550.67,GBP,Dr
764510350,IN187195,Global Tech Solutions,V_GL001,2024-03-02,2024-03-08,2024-04-16,2024-04-17,5809.42,1161.88,EUR,Dr
964135609,IN160584,Eco Electronics,V_EC001,2024-10-06,2024-10-08,2024-11-06,2024-11-14,-8602.39,-1720.48,JPY,Cr
325099481,IN315625,Global Tech Solutions,V_GL001,2024-08-07,2024-08-07,2024-09-17,2024-10-05,1846.97,369.39,EUR,Dr
359439396,IN388181,Purple Plumbers Limited,V_PU001,2024-03-13,2024-03-22,2024-05-04,2024-05-26,9885.21,1977.04,USD,Dr
930099603,IN140694,Velocity Ventures,V_VE001,2024-11-29,2024-12-04,2025-01-07,,3475.98,695.2,USD,Dr
252874194,IN443145,Global Tech Solutions,V_GL001,2024-04-28,2024-04-29,2024-05-24,2024-06-15,883.15,176.63,EUR,Dr
448994013,IN641542,QuickFix Mechanics,V_QU001,2024-10-08,2024-10-16,2024-11-16,2024-11-28,6421.05,1284.21,CAD,Dr
214604933,IN996465,Sunny Solutions Ltd.,V_SU001,2024-09-25,2024-10-10,2024-10-16,2024-10-21,5327.5,1065.5,AUD,Dr
778091275,IN140474,Artic Apples Co.,V_AR001,2024-07-22,2024-08-03,2024-08-22,2024-09-03,4389.15,877.83,GBP,Dr
252341319,IN990399,Purple Plumbers Limited,V_PU001,2024-07-12,2024-07-25,2024-08-19,2024-08-19,4658.21,931.64,USD,Dr
933618864,IN562458,Global Tech Solutions,V_GL001,2024-02-18,2024-02-19,2024-03-23,2024-04-07,3411.85,682.37,EUR,Dr
713733338,IN961795,Velocity Ventures,V_VE001,2024-01-26,2024-01-26,2024-03-09,2024-04-02,6191.35,1238.27,USD,Dr
768093012,IN401317,QuickFix Mechanics,V_QU001,2024-06-19,2024-06-20,2024-07-24,2024-08-03,2494.18,498.84,CAD,Dr
848523583,IN982975,Purple Plumbers Limited,V_PU001,2024-07-06,2024-07-09,2024-08-05,2024-08-23,1457.05,291.41,USD,Dr
809636183,IN213502,Eco Electronics,V_EC001,2024-02-24,2024-02-26,2024-03-28,2024-04-12,2997.22,599.44,JPY,Dr
259161416,IN463026,Eco Electronics,V_EC001,2024-11-14,2024-11-26,2024-12-23,2025-01-11,71.23,14.25,JPY,Dr
887587767,IN191440,Eco Electronics,V_EC001,2024-05-09,2024-05-24,2024-07-05,2024-08-02,133.9,26.78,JPY,Dr
652668013,IN829233,Artic Apples Co.,V_AR001,2024-08-13,2024-08-24,2024-09-09,2024-10-07,2963.28,592.66,GBP,Dr
641629614,IN299280,Blue Banana Inc.,V_BL001,2024-02-11,2024-02-22,2024-04-06,2024-04-11,8072.12,1614.42,USD,Dr
741759609,IN609472,Global Tech Solutions,V_GL001,2024-08-07,2024-08-11,2024-09-21,,4152.52,830.5,EUR,Dr
108293403,IN464869,Blue Banana Inc.,V_BL001,2024-10-01,2024-10-05,2024-11-01,2024-11-16,4488.59,897.72,USD,Dr
868440718,IN176960,QuickFix Mechanics,V_QU001,2024-01-30,2024-02-06,2024-03-15,2024-04-10,-7217.2,-1443.44,CAD,Cr
723423509,IN421485,Eco Electronics,V_EC001,2024-09-21,2024-10-06,2024-11-15,2024-12-07,2494.84,498.97,JPY,Dr
338514576,IN377497,Velocity Ventures,V_VE001,2024-01-02,2024-01-05,2024-01-28,2024-02-13,1076.71,215.34,USD,Dr
798379970,IN788130,Global Tech Solutions,V_GL001,2024-03-12,2024-03-23,2024-05-02,2024-05-13,-6102.91,-1220.58,EUR,Cr
209140607,IN133184,Artic Apples Co.,V_AR001,2024-06-16,2024-06-28,2024-08-01,,1182.37,236.47,GBP,Dr
720098262,IN809147,Velocity Ventures,V_VE001,2024-10-08,2024-10-22,2024-12-04,,8986.4,1797.28,USD,Dr
803776079,IN305205,Velocity Ventures,V_VE001,2024-06-23,2024-07-04,2024-07-17,2024-08-14,6646.55,1329.31,USD,Dr
840490418,IN924376,Velocity Ventures,V_VE001,2023-12-17,2023-12-17,2024-02-11,2024-02-27,6895.7,1379.14,USD,Dr
743222382,IN733409,Sunny Solutions Ltd.,V_SU001,2024-10-18,2024-10-19,2024-12-03,2024-12-20,7691.19,1538.24,AUD,Dr
234334101,IN190867,Velocity Ventures,V_VE001,2024-09-21,2024-09-25,2024-10-14,,-7890.67,-1578.13,USD,Cr
504470988,IN721132,Velocity Ventures,V_VE001,2024-11-23,2024-11-26,2025-01-03,2025-01-27,6014.46,1202.89,USD,Dr
110711382,IN910368,Purple Plumbers Limited,V_PU001,2024-10-22,2024-10-27,2024-12-10,,768.51,153.7,USD,Dr
181955960,IN955434,QuickFix Mechanics_A,V_QU001,2024-02-24,2024-03-08,2024-04-15,2024-04-24,6842.32,1368.46,CAD,Dr
790830669,IN269644,Eco Electronics,V_EC001,2024-10-11,2024-10-13,2024-12-06,2025-01-05,9705.92,1941.18,JPY,Dr
137581107,IN482694,Purple Plumbers Limited,V_PU001,2024-05-30,2024-05-31,2024-06-28,2024-07-10,3434.7,686.94,USD,Dr
142449781,IN395957,QuickFix Mechanics,V_QU001,2024-01-07,2024-01-18,2024-01-23,2024-02-13,2452.69,490.54,CAD,Dr
952905635,IN812782,Purple Plumbers Limited,V_PU001,2024-09-09,2024-09-13,2024-10-22,2024-11-07,5368.74,1073.75,USD,Dr
376436270,IN797801,Velocity Ventures,V_VE001,2024-10-15,2024-10-27,2024-11-17,2024-11-18,8662.8,1732.56,USD,Dr
805393973,IN608084,Velocity Ventures,V_VE001,2023-12-10,2023-12-18,2024-01-16,2024-01-16,8627.66,1725.53,USD,Dr
724642938,IN370565,Velocity Ventures,V_VE001,2024-03-02,2024-03-06,2024-04-16,2024-04-25,927.48,185.5,USD,Dr
579941455,IN716030,Velocity Ventures,V_VE001,2024-09-19,2024-09-26,2024-11-02,2024-11-06,2158.36,431.67,USD,Dr
526361014,IN239792,QuickFix Mechanics,V_QU001,2024-01-19,2024-01-20,2024-02-16,2024-02-18,5410.91,1082.18,CAD,Dr
683891240,IN654374,Sunny Solutions Ltd.,V_SU001,2024-03-14,2024-03-16,2024-04-01,2024-04-13,2447.23,489.45,AUD,Dr
571981630,IN961080,Artic Apples Co.,V_AR001,2024-01-07,2024-01-09,2024-02-05,2024-02-21,1949.6,389.92,GBP,Dr
848465815,IN626499,Global Tech Solutions,V_GL001,2024-05-05,2024-05-13,2024-05-30,2024-06-25,1227.71,245.54,EUR,Dr
854559409,IN902974,Velocity Ventures,V_VE001,2024-06-20,2024-07-02,2024-07-26,2024-08-17,9520.87,1904.17,USD,Dr
792418043,IN586690,Purple Plumbers Limited,V_PU001,2024-01-07,2024-01-18,2024-02-06,,6893.36,1378.67,USD,Dr
909170103,IN103623,Eco Electronics,V_EC001,2024-04-29,2024-05-14,2024-05-25,2024-05-28,5072.49,1014.5,JPY,Dr
200098132,IN437470,Eco Electronics,V_EC001,2024-06-21,2024-06-29,2024-08-02,2024-08-27,8690.33,1738.07,JPY,Dr
459575689,IN700977,Purple Plumbers Limited,V_PU001,2024-07-30,2024-08-12,2024-09-24,,4682.9,936.58,USD,Dr
752549879,IN659210,Purple Plumbers Limited,V_PU001,2023-12-19,2023-12-24,2024-01-18,2024-02-11,5204.48,1040.9,USD,Dr
149077004,IN627101,Blue Banana Inc._U,V_BL001,2023-12-06,2023-12-15,2024-02-04,2024-02-14,7664.88,1532.98,USD,Dr
910813751,IN547664,Artic Apples Co.,V_AR001,2024-04-30,2024-05-09,2024-06-16,2024-06-18,-5936.06,-1187.21,GBP,Cr
369523073,IN304806,Global Tech Solutions,V_GL001,2024-08-16,2024-08-24,2024-09-30,2024-10-04,5453.04,1090.61,EUR,Dr
814411807,IN935836,QuickFix Mechanics,V_QU001,2024-10-06,2024-10-21,2024-11-05,,562.97,112.59,CAD,Dr
650115712,IN306207,QuickFix Mechanics,V_QU001,2024-10-22,2024-10-30,2024-11-28,2024-12-11,-7384.09,-1476.82,CAD,Cr
567553846,IN707471,Velocity Ventures,V_VE001,2024-09-06,2024-09-12,2024-10-07,2024-10-30,6645.35,1329.07,USD,Dr
165097812,IN516994,Eco Electronics,V_EC001,2024-09-01,2024-09-05,2024-09-23,2024-09-24,4279.4,855.88,JPY,Dr
641003361,IN960912,Eco Electronics,V_EC001,2024-04-02,2024-04-05,2024-04-17,2024-04-28,2102.22,420.44,JPY,Dr
745502340,IN942645,Sunny Solutions Ltd.,V_SU001,2024-08-15,2024-08-15,2024-09-05,2024-09-23,4656.06,931.21,AUD,Dr
154681701,IN449305,Purple Plumbers Limited,V_PU001,2024-02-11,2024-02-25,2024-04-09,,4397.64,879.53,USD,Dr
672840986,IN168294,Artic Apples Co.,V_AR001,2024-10-01,2024-10-15,2024-10-30,2024-11-25,8787.52,1757.5,GBP,Dr
781101383,IN540936,Artic Apples Co.,V_AR001,2024-02-25,2024-03-05,2024-04-08,2024-05-08,7423.58,1484.72,GBP,Dr
