Internal Reference,Invoice Number,Supplier Name,Supplier Reference,Invoice Date,Posting Date,Due Date,Payment Date,Gross Amount,VAT Amount,Gross Amount_standardized,VAT Amount_standardized,Currency Code_CAD,Currency Code_EUR,Currency Code_GBP,Currency Code_JPY,Currency Code_USD,Debit/Credit_Dr
989852691,IN964554,Blue Banana Inc.,V_BL001,2024-05-12,2024-05-18,2024-06-06,2024-06-08,-7598.42,-1519.68,-1.8206999872930314,-1.8206970195497187,False,False,False,False,True,False
271903659,IN199329,Global Tech Solutions,V_GL001,2024-01-13,2024-01-25,2024-02-16,2024-03-03,-8806.82,-1761.36,-2.0032750293726975,-2.003272069419952,False,True,False,False,False,False
675199026,IN963612,Purple Plumbers Limited,V_PU001,2023-12-15,2023-12-16,2024-02-12,2024-03-09,9808.68,1961.74,0.8093083005131219,0.8093113804801877,False,False,False,False,True,True
569785019,IN613084,Purple Plumbers Limited,V_PU001,2024-02-22,2024-03-08,2024-03-23,2024-03-27,5810.45,1162.09,0.20522272413594256,0.20522275656123654,False,False,False,False,True,True
115620151,IN753108,Eco Electronics,V_EC001,2024-01-18,2024-01-20,2024-03-07,2024-04-03,9880.91,1976.18,0.820221404857225,0.8202199526422457,False,False,False,True,False,True
135257934,IN489466,Artic Apples Co.,V_AR001,2024-04-03,2024-04-08,2024-05-20,2024-05-21,5919.08,1183.82,0.22163544080353123,0.22163849569430577,False,False,True,False,False,True
782017719,IN780836,Purple Plumbers Limited,V_PU001,2024-06-10,2024-06-13,2024-07-15,2024-08-06,1323.44,264.69,-0.47271176739160004,-0.4727102530115348,False,False,False,False,True,True
737623346,IN278045,Artic Apples Co.,V_AR001,2024-06-18,2024-06-29,2024-07-04,2024-07-29,8519.82,1703.96,0.6145766977865424,0.614573725914031,False,False,True,False,False,True
439721781,IN909003,Artic Apples Co.,V_AR001,2024-08-19,2024-09-03,2024-09-05,2024-09-27,5169.42,1033.88,0.10837062282484664,0.10836762935227186,False,False,True,False,False,True
431631007,IN260440,Artic Apples Co.,V_AR001,2024-03-31,2024-04-12,2024-04-29,2024-05-10,6124.91,1224.98,0.2527339354338338,0.2527324590038838,False,False,True,False,False,True
821231723,IN441484,Velocity Ventures,V_VE001,2024-10-25,2024-11-09,2024-11-21,,8078.8,1615.76,0.5479437574869941,0.5479438045363638,False,False,False,False,True,True
894985534,IN537869,Artic Apples Co.,V_AR001,2024-10-02,2024-10-07,2024-10-28,2024-11-17,5987.37,1197.47,0.2319532574400923,0.23195026924084955,False,False,True,False,False,True
393774735,IN264215,Sunny Solutions Ltd.,V_SU001,2024-02-17,2024-02-18,2024-03-14,2024-04-10,2363.53,472.71,-0.31556638877802845,-0.3155633568099214,False,False,False,False,False,True
258886345,IN609199,Velocity Ventures,V_VE001,2024-01-06,2024-01-18,2024-01-21,2024-02-13,6147.97,1229.59,0.25621803049371233,0.2562150433298593,False,False,False,False,True,True
460620082,IN915062,Purple Plumbers Limited,V_PU001,2024-06-30,2024-07-11,2024-07-16,2024-08-09,6618.71,1323.74,0.32734131360243623,0.3273398403560199,False,False,False,False,True,True
955682144,IN604171,Global Tech Solutions,V_GL001,2024-07-16,2024-07-31,2024-08-07,2024-08-22,181.08,36.22,-0.6453089413986568,-0.6453059235008274,False,True,False,False,False,True
295438150,IN532982,QuickFix Mechanics,V_QU001,2023-12-07,2023-12-14,2024-01-29,2024-02-18,1510.6425290587968,302.13,-0.4444276647597482,-0.4444265312838721,True,False,False,False,False,True
495423455,IN308068,Purple Plumbers Limited,V_PU001,2024-05-03,2024-05-18,2024-05-26,2024-05-26,5432.46,1086.49,0.14811287627456143,0.1481113953803791,False,False,False,False,True,True
973773631,IN941181,Artic Apples Co.,V_AR001,2024-03-29,2024-03-30,2024-05-11,2024-05-31,9474.83,1894.97,0.75886748803522,0.7588705658499515,False,False,True,False,False,True
733517819,IN786741,Blue Banana Inc.,V_BL001,2024-08-13,2024-08-26,2024-08-29,2024-09-14,4947.43,989.49,0.07483054206411754,0.07483359069065453,False,False,False,False,True,True
531793379,IN595717,QuickFix Mechanics,V_QU001,2024-02-28,2024-03-02,2024-04-20,2024-05-11,5081.68,1016.34,0.09511413971323636,0.09511718920528449,True,False,False,False,False,True
260182725,IN206449,Velocity Ventures,V_VE001,2024-02-08,2024-02-10,2024-04-08,2024-04-23,3235.41,647.08,-0.1838355648054869,-0.18383705986407317,False,False,False,False,True,True
908160736,IN181403,Purple Plumbers Limited,V_PU001,2024-07-01,2024-07-03,2024-08-20,2024-08-30,7046.59,1409.32,0.39198895428850666,0.39199050556577886,False,False,False,False,True,True
894002645,IN181650,Global Tech Solutions,V_GL001,2024-11-06,2024-11-06,2025-01-04,2025-01-10,862.36,172.47,-0.5423755379990913,-0.5423770483567555,False,True,False,False,False,True
480625430,IN326866,Artic Apples Co.,V_AR001,2024-11-05,2024-11-13,2024-11-29,,688.77,137.75,-0.5686029474285925,-0.5686059697879641,False,False,True,False,False,True
232928354,IN944074,Velocity Ventures,V_VE001,2024-10-23,2024-11-07,2024-11-23,2024-12-20,5484.58,1096.92,0.15598759589818953,0.1559906479877382,False,False,False,False,True,True
874481697,IN391892,Eco Electronics,V_EC001,2024-11-04,2024-11-17,2024-12-20,2024-12-25,5716.34,1143.27,0.19100380886772234,0.1910053515688591,False,False,False,True,False,True
353009357,IN697984,Velocity Ventures,V_VE001,2024-08-05,2024-08-16,2024-08-30,2024-09-10,9844.74,1968.95,0.8147565428313879,0.814758112148362,False,False,False,False,True,True
268083404,IN601818,Artic Apples Co.,V_AR001,2024-09-09,2024-09-22,2024-10-19,2024-10-27,9655.2,1931.04,0.7861192758040958,0.7861193330165326,False,False,True,False,False,True
406718972,IN258768,Purple Plumbers Limited,V_PU001,2024-05-02,2024-05-07,2024-06-02,2024-06-09,3962.53,792.51,-0.07397627599634517,-0.07397323371946864,False,False,False,False,True,True
145304491,IN696857,QuickFix Mechanics,V_QU001,2024-05-02,2024-05-03,2024-06-09,2024-07-01,7456.62,1491.32,0.45393966970056016,0.4539366909735873,True,False,False,False,False,True
742916068,IN824438,Purple Plumbers Limited,V_PU001,2024-11-18,2024-11-18,2025-01-10,2025-01-30,1026.83,205.37,-0.5175260534154744,-0.517523030065086,False,False,False,False,True,True
246486784,IN500706,Global Tech Solutions,V_GL001,2023-12-25,2023-12-29,2024-01-27,,7189.88,1437.98,0.4136383897234581,0.4136414528070934,False,True,False,False,False,True
126257737,IN468518,Sunny Solutions Ltd.,V_SU001,2024-08-14,2024-08-17,2024-08-29,2024-09-28,6935.42,1387.08,0.3751924734642792,0.3751894913771245,False,False,False,False,False,True
112223413,IN502001,Eco Electronics,V_EC001,2024-07-13,2024-07-24,2024-07-29,2024-08-21,7810.67,1562.13,0.5074324648414952,0.5074294883970863,False,False,False,True,False,True
484618924,IN156038,Eco Electronics,V_EC001,2024-06-12,2024-06-18,2024-08-07,2024-08-25,3251.23,650.25,-0.18144534868027973,-0.18144231098916158,False,False,False,True,False,True
314629470,IN776457,QuickFix Mechanics_X,V_QU001,2024-05-29,2024-06-06,2024-06-15,2024-06-16,8275.02,1655.0,0.5775902940285963,0.5775873205778566,True,False,False,False,False,True
573619424,IN773938,Global Tech Solutions,V_GL001,2024-05-13,2024-05-22,2024-05-29,2024-06-12,3602.6,720.52,-0.12835747005107395,-0.12835745185981165,False,True,False,False,False,True
304509014,IN751418,QuickFix Mechanics,V_QU001,2023-12-07,2023-12-10,2024-01-01,2024-01-11,1666.18,333.24,-0.42092778036546236,-0.42092475289317793,True,False,False,False,False,True
252574517,IN162005,Artic Apples Co.,V_AR001,2024-09-05,2024-09-06,2024-09-20,2024-09-21,2660.89,532.18,-0.27063878656617024,-0.2706372635635511,False,False,True,False,False,True
952909381,IN251578,Purple Plumbers Limited,V_PU001,2024-02-06,2024-02-15,2024-03-25,,74.62,14.92,-0.6613937965623453,-0.6613968228811483,False,False,False,False,True,True
896649134,IN580853,Blue Banana Inc.,V_BL001,2024-08-23,2024-08-26,2024-09-28,2024-10-25,4445.63,889.13,-0.0009855421096464983,-0.0009824967182192738,False,False,False,False,True,True
471893025,IN920763,Global Tech Solutions,V_GL001,2024-02-28,2024-03-14,2024-04-13,2024-04-21,885.71,177.14,-0.5388476273465258,-0.5388491375536523,False,True,False,False,False,True
810180709,IN321100,Purple Plumbers Limited,V_PU001,2024-04-11,2024-04-19,2024-06-09,,1148.13,229.63,-0.499199048612211,-0.49919602447980027,False,False,False,False,True,True
612470466,IN710476,Blue Banana Inc.,V_BL001,2024-10-27,2024-11-07,2024-11-18,,9825.89,1965.18,0.8119085293067256,0.8119100985021738,False,False,False,False,True,True
513002174,IN298330,Purple Plumbers Limited,V_PU001,2024-09-09,2024-09-21,2024-10-14,2024-10-25,2375.19,475.04,-0.31380469977550535,-0.31380317861479706,False,False,False,False,True,True
732744113,IN810661,Artic Apples Co.,V_AR001,2024-05-07,2024-05-18,2024-06-28,2024-07-25,9605.34,1921.07,0.7785860156269258,0.7785875834004856,False,False,True,False,False,True
599713794,IN606296,Eco Electronics,V_EC001,2024-07-27,2024-08-11,2024-09-06,2024-09-30,5672.58,1134.52,0.18439218701948812,0.18439524032107465,False,False,False,True,False,True
706807173,IN906212,Global Tech Solutions,V_GL001,2024-01-26,2024-02-01,2024-02-29,,1016.77,203.35,-0.5190460012169652,-0.5190490214617174,False,True,False,False,False,True
402551670,IN199648,Global Tech Solutions,V_GL001,2024-11-24,2024-12-03,2025-01-08,2025-02-02,8544.23,1708.85,0.6182647619847919,0.6182678337999356,False,True,False,False,False,True
814291953,IN196219,Blue Banana Inc.,V_BL001,2024-07-25,2024-08-07,2024-09-10,2024-10-01,7315.86,1463.17,0.432672487539741,0.432671018787858,False,False,False,False,True,True
544800743,IN405952,Purple Plumbers Limited,V_PU001,2024-05-29,2024-06-10,2024-07-15,,9365.32,1873.06,0.7423218137070635,0.7423188472854992,False,False,False,False,True,True
227303484,IN619416,Eco Electronics_B,V_EC001,2024-10-12,2024-10-21,2024-11-10,2024-12-06,2227.22,445.44,-0.33616122822347644,-0.336164240664445,False,False,False,True,False,True
978898992,IN132494,QuickFix Mechanics,V_QU001,2024-01-27,2024-02-11,2024-03-09,2024-03-24,4791.41,958.28,0.05125775319845255,0.05125626817141426,True,False,False,False,False,True
312964557,IN142557,Global Tech Solutions,V_GL001,2024-12-03,2024-12-11,2025-01-29,2025-02-01,1779.38,355.88,-0.40382459039242513,-0.40382156219033916,False,True,False,False,False,True
889140720,IN376504,Global Tech Solutions,V_GL001,2024-02-25,2024-03-06,2024-04-07,2024-04-16,9210.4,1842.08,0.7189152219171083,0.718915276261915,False,True,False,False,False,True
260475819,IN819867,Purple Plumbers Limited,V_PU001,2024-08-12,2024-08-15,2024-09-23,2024-10-02,-6193.3,-1238.66,-1.6084028645464408,-1.6084029095094465,False,False,False,False,True,False
635941322,IN842360,Blue Banana Inc.,V_BL001,2024-05-06,2024-05-16,2024-06-15,2024-07-14,5382.63,1076.53,0.14058414874491088,0.14058720017718673,False,False,False,False,True,True
444078414,IN262551,Eco Electronics,V_EC001,2024-04-07,2024-04-15,2024-04-26,2024-05-24,5169.13,1033.83,0.10832680723215954,0.10832985728799867,False,False,False,True,False,True
122308183,IN904211,Eco Electronics_E,V_EC001,2024-09-25,2024-10-03,2024-11-20,2024-12-20,2436.13,487.23,-0.30459738178118656,-0.30459434934502655,False,False,False,True,False,True
338019730,IN832474,Sunny Solutions Ltd.,V_SU001,2024-07-15,2024-07-29,2024-08-11,,3937.88,787.58,-0.07770060137474949,-0.07769755925679171,False,False,False,False,False,True
419390485,IN383849,Velocity Ventures,V_VE001,2024-10-02,2024-10-09,2024-11-23,2024-12-19,-2799.0,-559.8,-1.0955640153814201,-1.095564038461339,False,False,False,False,True,False
889731976,IN569785,QuickFix Mechanics,V_QU001,2024-03-17,2024-03-28,2024-04-23,2024-05-20,6435.85,1287.17,0.299713316089454,0.2997133525467083,True,False,False,False,False,True
404967108,IN507770,Sunny Solutions Ltd.,V_SU001,2024-10-31,2024-11-03,2024-11-29,2024-12-10,-2442.65,-488.53,-1.0417237172640013,-1.041723738046528,False,False,False,False,False,False
513998408,IN938645,Global Tech Solutions,V_GL001,2024-03-17,2024-03-27,2024-04-03,2024-04-22,4168.37,833.67,-0.04287627048353615,-0.04287927040989069,False,True,False,False,False,True
700797588,IN974476,Blue Banana Inc.,V_BL001,2024-04-26,2024-04-29,2024-06-12,,2553.85,510.77,-0.286811272915233,-0.28681126148527275,False,False,False,False,True,True
653252935,IN450122,QuickFix Mechanics,V_QU001,2024-03-11,2024-03-21,2024-03-26,2024-04-13,5167.6,1033.52,0.1080956422086724,0.10809567048950577,True,False,False,False,False,True
681890672,IN634922,Sunny Solutions Ltd.,V_SU001,2024-10-22,2024-10-25,2024-12-02,,6070.75,1214.15,0.24455099577888953,0.2445510298823404,False,False,False,False,False,True
192600902,IN224804,Eco Electronics,V_EC001,2024-02-23,2024-03-08,2024-04-18,2024-05-10,2296.57,459.31,-0.3256832580412314,-0.3256862700350998,False,False,False,True,False,True
173070160,IN399459,Artic Apples Co.,V_AR001,2024-02-28,2024-03-14,2024-03-15,2024-03-20,4843.65,968.73,0.05915060341215805,0.05915062960448256,False,False,True,False,False,True
924934638,IN393035,Sunny Solutions Ltd.,V_SU001,2024-08-10,2024-08-17,2024-10-03,2024-10-13,4414.86,882.97,-0.005634527581999531,-0.005636015036659491,False,False,False,False,False,True
732509255,IN522465,Purple Plumbers Limited,V_PU001,2024-02-26,2024-02-26,2024-03-24,2024-04-10,6241.32,1248.26,0.2703221186914421,0.27031913212941766,False,False,False,False,True,True
933930372,IN368324,Artic Apples Co.,V_AR001,2024-02-25,2024-03-05,2024-04-21,2024-05-17,377.32,75.46,-0.6156593830920417,-0.6156624074593346,False,False,True,False,False,True
709760320,IN230607,Global Tech Solutions,V_GL001,2024-05-08,2024-05-08,2024-06-01,,4457.29,891.46,0.0007761468928765735,0.000777681476905069,False,True,False,False,False,True
445298401,IN952400,Velocity Ventures,V_VE001,2024-04-30,2024-05-04,2024-05-25,2024-06-15,-7097.01,-1419.4,-1.7449428275370191,-1.744941367443682,False,False,False,False,True,False
292082287,IN863465,Purple Plumbers Limited,V_PU001,2024-10-08,2024-10-08,2024-12-07,2024-12-12,5509.08,1101.82,0.15968925803899706,0.15969231028649739,False,False,False,False,True,True
428255678,IN950767,Artic Apples Co.,V_AR001,2024-07-24,2024-07-24,2024-08-26,2024-09-22,1735.48,347.1,-0.41045736459574966,-0.4104543366766874,False,False,True,False,False,True
568292040,IN830333,Artic Apples Co.,V_AR001,2024-04-15,2024-04-16,2024-05-28,2024-06-23,-2384.79,-476.96,-1.0329817510816697,-1.0329832823737435,False,False,True,False,False,False
155675335,IN344666,Purple Plumbers Limited,V_PU001,2024-11-01,2024-11-03,2024-11-19,,9737.22,1947.44,0.7985115341220153,0.7985085700980943,False,False,False,False,True,True
507489711,IN149945,Global Tech Solutions,V_GL001,2023-12-27,2023-12-27,2024-02-25,2024-03-16,908.72,181.74,-0.5353710866991795,-0.5353741076405313,False,True,False,False,False,True
939467784,IN985874,Sunny Solutions Ltd.,V_SU001,2024-04-03,2024-04-18,2024-05-02,2024-05-04,7050.06,1410.01,0.3925132305182456,0.39251176005274707,False,False,False,False,False,True
918074062,IN922882,Velocity Ventures,V_VE001,2024-02-20,2024-03-05,2024-03-23,2024-03-23,3886.0,777.2,-0.08553905981822275,-0.0855390397998777,False,False,False,False,True,True
226181795,IN841617,QuickFix Mechanics,V_QU001,2024-02-16,2024-02-27,2024-03-26,2024-04-20,2458.28,491.66,-0.30125077702939523,-0.30124774445043395,True,False,False,False,False,True
495366194,IN274893,Purple Plumbers Limited,V_PU001,2024-01-12,2024-01-24,2024-02-14,2024-02-17,41990.17727781207,8398.04,5.671554427361184,5.671558126093325,False,False,False,False,True,True
436135211,IN953341,Sunny Solutions Ltd.,V_SU001,2023-12-27,2024-01-08,2024-02-14,2024-03-06,2597.21,519.44,-0.2802600863672569,-0.28026158554032515,False,False,False,False,False,True
270068805,IN669081,Purple Plumbers Limited,V_PU001,2024-10-29,2024-11-05,2024-11-27,2024-12-08,3056.97,611.39,-0.21079575225061734,-0.2107987593421791,False,False,False,False,True,True
978681852,IN504749,Sunny Solutions Ltd.,V_SU001,2024-07-02,2024-07-12,2024-07-17,2024-08-16,6358.91,1271.78,0.28808858608481186,0.28808711116346225,False,False,False,False,False,True
810181978,IN566824,Global Tech Solutions,V_GL001,2024-03-04,2024-03-13,2024-04-19,2024-04-26,5914.31,1182.86,0.22091474984795367,0.22091327206026312,False,True,False,False,False,True
529423901,IN706280,Purple Plumbers Limited,V_PU001,2024-02-13,2024-02-14,2024-04-12,2024-05-11,3526.78,705.36,-0.1398129812149934,-0.13980994174740158,False,False,False,False,True,True
738754306,IN369413,Blue Banana Inc.,V_BL001,2024-06-19,2024-06-20,2024-08-04,2024-08-05,9700.3,1940.06,0.7929333559081944,0.7929334134113915,False,False,False,False,True,True
224460857,IN160236,Velocity Ventures,V_VE001,2024-01-20,2024-02-02,2024-02-26,2024-03-26,2080.89,416.18,-0.3582699719403893,-0.3582684526770361,False,False,False,False,True,True
914712499,IN222188,Eco Electronics,V_EC001,2024-01-04,2024-01-07,2023-12-30,2024-02-16,-6106.86,-1221.37,-1.5953427961606688,-1.5953413296838241,False,False,False,True,False,False
128978672,IN384460,QuickFix Mechanics,V_QU001,2023-12-06,2023-12-13,2023-12-25,2024-01-06,447.36,89.47,-0.6050771620168515,-0.6050786750500249,True,False,False,False,False,True
402503542,IN378246,Purple Plumbers Limited,V_PU001,2024-03-16,2024-03-21,2024-04-05,2024-04-05,9780.58,1956.12,0.8050627206699915,0.8050658004558963,False,False,False,False,True,True
485890815,IN125102,Blue Banana Inc.,V_BL001,2024-09-30,2024-10-10,2024-11-03,2024-11-03,3383.51,676.7,-0.16145939488493194,-0.16146088898871605,False,False,False,False,True,True
255296892,IN347392,Blue Banana Inc.,V_BL001,2024-01-11,2024-01-16,2024-02-18,2024-02-22,3863.2,772.64,-0.08898387193293346,-0.08898385206158026,False,False,False,False,True,True
335537731,IN551816,QuickFix Mechanics,V_QU001,2024-06-16,2024-07-01,2024-07-24,2024-07-26,4771.62,954.32,0.048267716718183945,0.04826472068098844,True,False,False,False,False,True
504359246,IN231921,Sunny Solutions Ltd.,V_SU001,2024-10-16,2024-10-25,2024-11-22,,-1897.95,-379.59,-0.9594259471375579,-0.9594259644083981,False,False,False,False,False,False
355042592,IN895984,Artic Apples Co.,V_AR001,2023-12-25,2024-01-06,2024-02-13,2024-02-21,7753.35,1550.67,0.49877208631451203,0.49877213126570236,False,False,True,False,False,True
764510350,IN187195,Global Tech Solutions,V_GL001,2024-03-02,2024-03-08,2024-04-16,2024-04-17,5809.42,1161.88,0.20506710323777802,0.20506411389128984,False,True,False,False,False,True
964135609,IN160584,Eco Electronics,V_EC001,2024-10-06,2024-10-08,2024-11-06,2024-11-14,-8602.39,-1720.48,-1.972388058293298,-1.9723896296703034,False,False,False,True,False,False
325099481,IN315625,Global Tech Solutions,V_GL001,2024-08-07,2024-08-07,2024-09-17,2024-10-05,1846.97,369.39,-0.3936125355313157,-0.39361555042376,False,True,False,False,False,True
359439396,IN388181,Purple Plumbers Limited,V_PU001,2024-03-13,2024-03-22,2024-05-04,2024-05-26,9885.21,1977.04,0.8208710843349992,0.8208696321477421,False,False,False,False,True,True
930099603,IN140694,Velocity Ventures,V_VE001,2024-11-29,2024-12-04,2025-01-07,,3475.98,695.2,-0.14748826434776982,-0.14748522520768612,False,False,False,False,True,True
252874194,IN443145,Global Tech Solutions,V_GL001,2024-04-28,2024-04-29,2024-05-24,2024-06-15,883.15,176.63,-0.5392344132681774,-0.5392344126092374,False,True,False,False,False,True
448994013,IN641542,QuickFix Mechanics,V_QU001,2024-10-08,2024-10-16,2024-11-16,2024-11-28,6421.05,1284.21,0.29747720997990496,0.2974772463417435,True,False,False,False,False,True
214604933,IN996465,Sunny Solutions Ltd.,V_SU001,2024-09-25,2024-10-10,2024-10-16,2024-10-21,5327.5,1065.5,0.13225465348684068,0.13225468279855107,False,False,False,False,False,True
778091275,IN140474,Artic Apples Co.,V_AR001,2024-07-22,2024-08-03,2024-08-22,2024-09-03,4389.15,877.83,-0.009519006506087765,-0.009518983243929422,False,False,True,False,False,True
252341319,IN990399,Purple Plumbers Limited,V_PU001,2024-07-12,2024-07-25,2024-08-19,2024-08-19,4658.21,931.64,0.031132798212511234,0.031131312326731147,False,False,False,False,True,True
933618864,IN562458,Global Tech Solutions,V_GL001,2024-02-18,2024-02-19,2024-03-23,2024-04-07,3411.85,682.37,-0.15717755386164686,-0.15717753690015177,False,True,False,False,False,True
713733338,IN961795,Velocity Ventures,V_VE001,2024-01-26,2024-01-26,2024-03-09,2024-04-02,6191.35,1238.27,0.2627722388067013,0.2627722736876615,False,False,False,False,True,True
768093012,IN401317,QuickFix Mechanics,V_QU001,2024-06-19,2024-06-20,2024-07-24,2024-08-03,2494.18,498.84,-0.2958267088312324,-0.29582367602082343,True,False,False,False,False,True
