Internal Reference,Payment Date,Invoice Number,Posting Date,Supplier Name,Supplier Reference,Gross Amount,Invoice Date,Currency Code,VAT Amount,Due Date,Debit/Credit,Is Anomaly
10065786,2022-06-25,IN61083,2022-06-18,Purple Plumbers Limited,V_PURPLE001,7432.47,2022-06-15,USD,745.12,2022-07-15,,False
10081696,,IN71510,2022-08-28,Yellow Yard Services,V_YELLOW001,4936.7,2022-08-27,USD,789.72,2022-09-26,,False
10043662,2022-04-30,IN66446,2022-04-24,Orange Office Supplies,V_ORANGE001,30578.78,2022-04-21,USD,1897.37,2022-05-21,Cr,True
10069238,,IN12147,2022-07-20,Yellow Yard Services,V_YELLOW001,6317.22,2022-07-17,CAD,463.04,2022-08-16,Dr,False
10024626,2023-07-10,IN38132,2023-07-06,Yellow Yard Services,V_YELLOW001,5322.24,2023-07-04,CAD,415.73,2023-08-03,,False
10098151,2023-10-01,IN13327,2023-09-23,Red Roofing Solutions,V_RED001,5497.91,2023-09-20,GBP,619.88,2023-10-20,,False
10053541,2022-06-05,IN33387,2022-05-30,Blue Builders Inc.,V_BLUE001,21862.48,2022-05-29,USD,2799.56,2022-06-28,Dr,True
10094981,,IN81997,2022-04-15,Green Grocers Co.,V_GREEN001,5126.78,2022-04-14,GBP,392.96,2022-05-14,Dr,False
10061742,2023-06-11,IN50522,2023-06-09,Yellow Yard Services,V_YELLOW001,5255.3,2023-06-07,USD,643.3,2023-07-07,,False
10026360,2023-08-08,IN59410,2023-07-31,Red Roofing Solutions,V_RED001,4392.36,2023-07-27,CAD,605.1,2023-08-26,Dr,False
10063413,2022-11-06,IN66800,2022-11-04,Blue Builders Inc.,V_BLUE001,24116.76,2022-11-02,CAD,3026.23,2022-12-02,,True
10086872,,IN91132,2022-11-01,Purple Plumbers Limited,V_PURPLE001,5104.32,2022-10-28,EUR,608.39,2022-11-27,,False
10027771,2022-09-22,IN39975,2022-09-19,Red Roofing Solutions,V_RED001,26233.47,2022-09-18,USD,915.06,2022-10-18,Cr,True
10052712,2024-01-02,IN12610,2023-12-28,Blue Builders Inc.,V_BLUE001,5713.05,2023-12-27,CAD,478.05,2024-01-26,Dr,False
10084092,2023-04-11,IN64068,2023-04-10,Blue Builders Inc.,V_BLUE001,3315.89,2023-04-07,CAD,400.23,2023-05-07,Cr,False
10028020,2022-07-19,IN18155,2022-07-10,Purple Plumbers Limited,V_PURPLE001,7226.17,2022-07-06,CAD,553.34,2022-08-05,Cr,False
10068161,2023-12-24,IN89623,2023-12-18,Purple Plumbers Limited,V_PURPLE001,4060.71,2023-12-17,USD,502.31,2024-01-16,Cr,False
10056023,2023-03-06,IN56624,2023-03-01,Orange Office Supplies,V_ORANGE001,4072.76,2023-02-28,CAD,634.78,2023-03-30,Dr,False
10022963,2022-08-10,IN74360,2022-08-05,Green Grocers Co.,V_GREEN001,6782.9,2022-08-04,GBP,777.4,2022-09-03,Cr,False
10023666,2023-09-04,IN30955,2023-09-03,Red Roofing Solutions,V_RED001,4676.5,2023-09-02,GBP,369.06,2023-10-02,,False
10029333,2022-06-03,IN14261,2022-05-30,Blue Builders Inc.,V_BLUE001,8437.87,2022-05-26,EUR,780.12,2022-06-25,,False
10047661,2022-07-21,IN97318,2022-07-18,Yellow Yard Services,V_YELLOW001,4534.45,2022-07-15,USD,409.83,2022-08-14,Dr,False
10090224,2022-04-05,IN33457,2022-04-04,Blue Builders Inc.,V_BLUE001,3482.13,2022-04-03,USD,567.32,2022-05-03,,False
10068478,2023-06-29,IN74353,2023-06-21,Red Roofing Solutions,V_RED001,5256.25,2023-06-17,GBP,689.03,2023-07-17,Dr,False
10040111,2023-12-19,IN98578,2023-12-13,Blue Builders Inc.,V_BLUE001,7263.7,2023-12-11,EUR,590.84,2024-01-10,Cr,False
10016893,2023-05-26,IN89909,2023-05-23,Yellow Yard Services,V_YELLOW001,24336.15,2023-05-19,EUR,2479.21,2023-06-18,Cr,True
10090135,2022-06-07,IN29508,2022-06-01,Yellow Yard Services,V_YELLOW001,17936.19,2022-05-30,CAD,2297.82,2022-06-29,Dr,True
10057356,2023-10-16,IN87597,2023-10-13,Yellow Yard Services,V_YELLOW001,4240.1,2023-10-11,USD,372.6,2023-11-10,,False
10066044,2023-07-17,IN77214,2023-07-12,Blue Builders Inc.,V_BLUE001,12906.25,2023-07-08,GBP,2521.25,2023-08-07,,True
10066700,,IN37624,2022-08-05,Red Roofing Solutions,V_RED001,5484.62,2022-08-02,CAD,462.15,2022-09-01,Dr,False
10087078,2023-09-08,IN92970,2023-09-02,Green Grocers Co.,V_GREEN001,4593.09,2023-08-30,EUR,404.2,2023-09-29,Dr,False
10069234,,IN35851,2022-06-11,Red Roofing Solutions,V_RED001,4356.13,2022-06-10,CAD,588.28,2022-07-10,,False
10072292,,IN33833,2023-03-28,Purple Plumbers Limited,V_PURPLE001,25897.2,2023-03-26,GBP,1765.41,2023-04-25,,True
10061287,2022-08-21,IN16727,2022-08-19,Purple Plumbers Limited,V_PURPLE001,6500.99,2022-08-17,USD,548.55,2022-09-16,,False
10024472,,IN13471,2023-10-26,Red Roofing Solutions,V_RED001,5817.68,2023-10-22,USD,358.49,2023-11-21,Dr,False
10015577,2022-04-19,IN30002,2022-04-18,Orange Office Supplies,V_ORANGE001,5983.96,2022-04-15,CAD,603.54,2022-05-15,,False
10077808,2022-05-11,IN92886,2022-05-10,Blue Builders Inc.,V_BLUE001,4613.57,2022-05-09,EUR,489.55,2022-06-08,Dr,False
10019677,2023-03-25,IN85828,2023-03-18,Blue Builders Inc.,V_BLUE001,5966.78,2023-03-17,EUR,639.24,2023-04-16,,False
10065486,2023-10-06,IN65162,2023-10-01,Blue Builders Inc.,V_BLUE001,4319.8,2023-09-29,CAD,485.74,2023-10-29,,False
10086125,,IN23918,2023-01-13,Yellow Yard Services,V_YELLOW001,18968.81,2023-01-12,CAD,861.02,2023-02-11,,True
10091731,,IN37689,2023-11-16,Orange Office Supplies,V_ORANGE001,5326.12,2023-11-15,GBP,451.01,2023-12-15,Cr,False
10066276,2023-05-06,IN29541,2023-05-05,Blue Builders Inc.,V_BLUE001,18448.27,2023-05-04,EUR,2057.84,2023-06-03,,True
10081916,2023-09-17,IN76151,2023-09-14,Purple Plumbers Limited,V_PURPLE001,3859.74,2023-09-13,GBP,526.69,2023-10-13,Cr,False
10065182,2022-11-18,IN42991,2022-11-11,Green Grocers Co.,V_GREEN001,4390.64,2022-11-10,EUR,407.48,2022-12-10,Dr,False
10028205,2023-08-24,IN21595,2023-08-23,Red Roofing Solutions,V_RED001,3355.04,2023-08-19,GBP,769.09,2023-09-18,Dr,False
10084218,,IN75344,2022-12-08,Yellow Yard Services,V_YELLOW001,5032.07,2022-12-05,USD,556.66,2023-01-04,,False
10055671,2022-06-18,IN12204,2022-06-12,Purple Plumbers Limited,V_PURPLE001,5556.82,2022-06-09,EUR,672.99,2022-07-09,,False
10039086,2022-03-05,IN27322,2022-02-26,Green Grocers Co.,V_GREEN001,5881.78,2022-02-22,USD,592.96,2022-03-24,,False
10021338,2023-09-01,IN10412,2023-08-27,Blue Builders Inc.,V_BLUE001,17053.18,2023-08-25,CAD,2424.8,2023-09-24,,True
10094627,2023-09-11,IN83495,2023-09-06,Green Grocers Co.,V_GREEN001,8094.87,2023-09-02,USD,544.86,2023-10-02,Dr,False
10098691,,IN53884,2023-06-24,Red Roofing Solutions,V_RED001,3571.73,2023-06-20,USD,563.4,2023-07-20,Cr,False
10068008,,IN93276,2022-10-05,Purple Plumbers Limited,V_PURPLE001,3145.8,2022-10-03,GBP,688.15,2022-11-02,Dr,False
10044674,2023-01-04,IN45854,2023-01-02,Blue Builders Inc.,V_BLUE001,22882.78,2022-12-31,CAD,2155.63,2023-01-30,,True
10026237,2022-03-19,IN18244,2022-03-17,Orange Office Supplies,V_ORANGE001,5328.85,2022-03-15,CAD,693.39,2022-04-14,,False
10057915,,IN14632,2023-09-24,Purple Plumbers Limited,V_PURPLE001,21299.61,2023-09-23,USD,1354.48,2023-10-23,,True
10096610,,IN21442,2022-11-10,Green Grocers Co.,V_GREEN001,4692.28,2022-11-09,EUR,429.44,2022-12-09,Dr,False
10071465,2023-02-24,IN96436,2023-02-23,Red Roofing Solutions,V_RED001,3628.58,2023-02-20,GBP,413.61,2023-03-22,,False
10064921,,IN93697,2022-04-28,Purple Plumbers Limited,V_PURPLE001,4242.96,2022-04-25,GBP,519.16,2022-05-25,Dr,False
10098648,2023-11-07,IN71779,2023-11-05,Purple Plumbers Limited,V_PURPLE001,3969.6,2023-11-01,USD,708.9,2023-12-01,Dr,False
10032620,2022-10-16,IN44112,2022-10-12,Blue Builders Inc.,V_BLUE001,4283.22,2022-10-10,CAD,331.59,2022-11-09,Dr,False
10065276,2022-03-29,IN51243,2022-03-23,Blue Builders Inc.,V_BLUE001,5827.21,2022-03-20,USD,551.09,2022-04-19,Cr,False
10082391,2022-03-02,IN94214,2022-02-24,Red Roofing Solutions,V_RED001,4954.13,2022-02-22,CAD,675.95,2022-03-24,Cr,False
10065512,2023-01-01,IN66809,2022-12-26,Green Grocers Co.,V_GREEN001,7270.02,2022-12-24,GBP,722.23,2023-01-23,,False
10083591,2023-07-17,IN80190,2023-07-13,Yellow Yard Services,V_YELLOW001,5312.76,2023-07-11,GBP,476.06,2023-08-10,Cr,False
10023140,2023-11-21,IN93457,2023-11-15,Green Grocers Co.,V_GREEN001,5569.22,2023-11-12,EUR,771.73,2023-12-12,Cr,False
10050409,,IN94101,2023-05-12,Orange Office Supplies,V_ORANGE001,7448.06,2023-05-09,GBP,561.47,2023-06-08,,False
10037564,,IN38835,2022-06-03,Red Roofing Solutions,V_RED001,6321.68,2022-05-30,CAD,605.28,2022-06-29,Cr,False
10030140,2022-01-19,IN84907,2022-01-16,Yellow Yard Services,V_YELLOW001,4588.1,2022-01-13,EUR,630.98,2022-02-12,,False
10080480,2022-06-13,IN56163,2022-06-11,Yellow Yard Services,V_YELLOW001,16408.48,2022-06-10,USD,2452.94,2022-07-10,Dr,True
10026907,2022-03-01,IN28777,2022-02-23,Blue Builders Inc.,V_BLUE001,17483.81,2022-02-20,EUR,2522.66,2022-03-22,,True
10054472,2023-10-02,IN30566,2023-09-26,Yellow Yard Services,V_YELLOW001,6425.39,2023-09-23,EUR,690.73,2023-10-23,,False
10013196,,IN86349,2022-08-30,Orange Office Supplies,V_ORANGE001,8638.09,2022-08-27,CAD,374.89,2022-09-26,Cr,False
10037197,2022-12-08,IN32010,2022-11-30,Blue Builders Inc.,V_BLUE001,3873.79,2022-11-29,CAD,485.96,2022-12-29,,False
10021698,2023-06-28,IN96711,2023-06-22,Yellow Yard Services,V_YELLOW001,3877.71,2023-06-20,GBP,562.7,2023-07-20,Dr,False
10058515,2023-08-06,IN15744,2023-07-31,Green Grocers Co.,V_GREEN001,6833.18,2023-07-30,USD,516.68,2023-08-29,,False
10093028,,IN96282,2022-08-23,Red Roofing Solutions,V_RED001,5329.49,2022-08-19,USD,278.21,2022-09-18,,False
10017526,2023-02-12,IN49500,2023-02-08,Yellow Yard Services,V_YELLOW001,5968.38,2023-02-05,EUR,502.91,2023-03-07,Dr,False
10029177,2023-03-08,IN99254,2023-03-04,Purple Plumbers Limited,V_PURPLE001,7444.46,2023-03-01,CAD,444.1,2023-03-31,,False
10017273,2023-11-20,IN74236,2023-11-11,Red Roofing Solutions,V_RED001,6971.11,2023-11-09,EUR,357.69,2023-12-09,,False
10067784,2023-03-18,IN17421,2023-03-09,Orange Office Supplies,V_ORANGE001,26122.92,2023-03-08,USD,2811.7,2023-04-07,,True
10060886,2022-10-09,IN37195,2022-10-08,Green Grocers Co.,V_GREEN001,6918.03,2022-10-07,EUR,163.22,2022-11-06,,False
10030045,,IN36327,2023-04-06,Yellow Yard Services,V_YELLOW001,3673.76,2023-04-04,EUR,111.74,2023-05-04,Dr,False
10024123,2022-12-13,IN76615,2022-12-05,Purple Plumbers Limited,V_PURPLE001,6059.35,2022-12-02,EUR,534.2,2023-01-01,,False
10059997,2023-06-19,IN88692,2023-06-11,Green Grocers Co.,V_GREEN001,3912.13,2023-06-07,CAD,432.43,2023-07-07,Dr,False
10078684,,IN15607,2022-07-22,Orange Office Supplies,V_ORANGE001,5012.86,2022-07-19,GBP,549.63,2022-08-18,Dr,False
10073731,2023-03-17,IN59688,2023-03-08,Yellow Yard Services,V_YELLOW001,16017.49,2023-03-07,EUR,2330.39,2023-04-06,,True
10097592,2022-11-02,IN53169,2022-10-31,Blue Builders Inc.,V_BLUE001,3252.78,2022-10-30,CAD,591.36,2022-11-29,,False
10061196,2022-08-18,IN90354,2022-08-13,Red Roofing Solutions,V_RED001,24752.69,2022-08-09,GBP,2212.66,2022-09-08,Cr,True
10043717,,IN64596,2023-01-05,Green Grocers Co.,V_GREEN001,5751.16,2023-01-04,EUR,373.56,2023-02-03,,False
10040825,2023-01-05,IN80740,2023-01-02,Red Roofing Solutions,V_RED001,4087.66,2022-12-30,EUR,554.47,2023-01-29,,False
10074805,2023-11-11,IN54605,2023-11-06,Orange Office Supplies,V_ORANGE001,6553.37,2023-11-04,EUR,382.15,2023-12-04,Cr,False
10042442,2022-01-19,IN97235,2022-01-17,Yellow Yard Services,V_YELLOW001,5401.02,2022-01-14,GBP,538.01,2022-02-13,Cr,False
10045349,2022-02-06,IN10691,2022-01-31,Yellow Yard Services,V_YELLOW001,6618.67,2022-01-30,CAD,413.16,2022-03-01,,False
10098697,2023-12-23,IN42873,2023-12-20,Orange Office Supplies,V_ORANGE001,3514.05,2023-12-17,EUR,351.18,2024-01-16,,False
10010340,2023-01-20,IN53949,2023-01-17,Yellow Yard Services,V_YELLOW001,2298.41,2023-01-14,GBP,418.6,2023-02-13,,False
10081363,2023-04-17,IN42762,2023-04-12,Red Roofing Solutions,V_RED001,5128.76,2023-04-10,CAD,413.0,2023-05-10,,False
10047196,2022-03-29,IN75938,2022-03-28,Yellow Yard Services,V_YELLOW001,4183.45,2022-03-25,EUR,639.7,2022-04-24,,False
10042940,2023-02-13,IN15666,2023-02-04,Blue Builders Inc.,V_BLUE001,6710.47,2023-01-31,GBP,874.83,2023-03-02,Cr,False
10022254,,IN65734,2022-03-22,Green Grocers Co.,V_GREEN001,6008.91,2022-03-18,EUR,680.34,2022-04-17,Dr,False
10020057,2023-01-11,IN52915,2023-01-03,Green Grocers Co.,V_GREEN001,6148.25,2023-01-02,EUR,327.7,2023-02-01,Dr,False
10044263,2022-02-24,IN86621,2022-02-15,Red Roofing Solutions,V_RED001,6198.6,2022-02-11,USD,604.85,2022-03-13,Cr,False
10099452,2022-09-13,IN70277,2022-09-07,Blue Builders Inc.,V_BLUE001,3682.61,2022-09-06,USD,514.98,2022-10-06,,False
10027671,2022-04-07,IN93038,2022-04-04,Green Grocers Co.,V_GREEN001,4522.08,2022-04-01,USD,281.58,2022-05-01,,False
10072154,2023-12-05,IN22991,2023-11-28,Orange Office Supplies,V_ORANGE001,9881.97,2023-11-26,USD,313.33,2023-12-26,,False
10019114,2022-06-14,IN49846,2022-06-06,Purple Plumbers Limited,V_PURPLE001,5797.5,2022-06-05,GBP,568.49,2022-07-05,Cr,False
10011299,,IN14994,2022-10-10,Blue Builders Inc.,V_BLUE001,6129.02,2022-10-09,GBP,321.88,2022-11-08,Cr,False
10033574,2023-11-26,IN33524,2023-11-21,Purple Plumbers Limited,V_PURPLE001,21093.42,2023-11-20,USD,1757.81,2023-12-20,Dr,True
10019516,2023-04-01,IN12396,2023-03-31,Blue Builders Inc.,V_BLUE001,23473.81,2023-03-30,GBP,1469.59,2023-04-29,,True
10012539,,IN32669,2023-10-04,Orange Office Supplies,V_ORANGE001,5100.49,2023-10-01,USD,577.39,2023-10-31,,False
10073208,2023-06-09,IN43828,2023-06-03,Green Grocers Co.,V_GREEN001,19942.08,2023-05-31,CAD,2095.3,2023-06-30,,True
10098236,2023-05-29,IN16469,2023-05-21,Orange Office Supplies,V_ORANGE001,22641.58,2023-05-19,EUR,2103.75,2023-06-18,,True
10094076,,IN99780,2023-02-01,Green Grocers Co.,V_GREEN001,12796.74,2023-01-31,EUR,2134.66,2023-03-02,Dr,True
10013321,2023-08-12,IN91348,2023-08-11,Red Roofing Solutions,V_RED001,3227.09,2023-08-07,CAD,625.32,2023-09-06,Dr,False
10055771,2023-03-01,IN76354,2023-02-25,Red Roofing Solutions,V_RED001,4479.22,2023-02-24,CAD,615.62,2023-03-26,Cr,False
10077055,,IN97697,2023-12-28,Yellow Yard Services,V_YELLOW001,1362.18,2023-12-24,CAD,495.47,2024-01-23,,False
10099796,2023-07-13,IN56733,2023-07-04,Red Roofing Solutions,V_RED001,4498.66,2023-07-01,CAD,606.91,2023-07-31,,False
10031300,,IN85700,2023-02-06,Orange Office Supplies,V_ORANGE001,6093.97,2023-02-03,USD,304.89,2023-03-05,,False
10039048,2022-06-06,IN95205,2022-05-28,Yellow Yard Services,V_YELLOW001,6649.23,2022-05-24,EUR,471.69,2022-06-23,Dr,False
10026724,2023-11-29,IN13828,2023-11-21,Red Roofing Solutions,V_RED001,6738.52,2023-11-20,USD,518.17,2023-12-20,,False
10090981,,IN65107,2023-07-08,Blue Builders Inc.,V_BLUE001,4755.94,2023-07-06,GBP,369.32,2023-08-05,Cr,False
10032931,2022-10-24,IN99116,2022-10-17,Red Roofing Solutions,V_RED001,6051.39,2022-10-16,CAD,628.27,2022-11-15,,False
10035008,2022-03-11,IN58928,2022-03-04,Yellow Yard Services,V_YELLOW001,3225.42,2022-03-01,USD,462.09,2022-03-31,Dr,False
10032443,2023-12-16,IN89973,2023-12-15,Red Roofing Solutions,V_RED001,15574.18,2023-12-12,EUR,2776.28,2024-01-11,Dr,True
10095389,,IN95615,2022-04-03,Yellow Yard Services,V_YELLOW001,6078.75,2022-03-30,EUR,772.97,2022-04-29,,False
10049321,2022-01-15,IN95962,2022-01-07,Yellow Yard Services,V_YELLOW001,5995.17,2022-01-04,CAD,391.36,2022-02-03,Dr,False
10031818,,IN53246,2023-05-27,Blue Builders Inc.,V_BLUE001,4600.51,2023-05-26,EUR,472.57,2023-06-25,Dr,False
10090846,2022-12-02,IN83762,2022-11-29,Green Grocers Co.,V_GREEN001,4111.24,2022-11-26,EUR,535.25,2022-12-26,,False
10067649,,IN70957,2023-06-03,Red Roofing Solutions,V_RED001,6826.06,2023-05-30,EUR,623.08,2023-06-29,,False
10049709,,IN69846,2022-12-27,Green Grocers Co.,V_GREEN001,3166.74,2022-12-25,USD,562.96,2023-01-24,Cr,False
10029963,2023-07-07,IN65123,2023-06-29,Red Roofing Solutions,V_RED001,29529.54,2023-06-26,CAD,2113.8,2023-07-26,Dr,True
10024179,2023-01-24,IN68726,2023-01-21,Purple Plumbers Limited,V_PURPLE001,4579.25,2023-01-17,GBP,289.57,2023-02-16,Cr,False
10038036,,IN81356,2022-03-21,Blue Builders Inc.,V_BLUE001,3879.44,2022-03-17,USD,506.54,2022-04-16,,False
10069056,2023-11-18,IN68706,2023-11-11,Red Roofing Solutions,V_RED001,2438.53,2023-11-08,EUR,462.39,2023-12-08,Cr,False
10020702,2022-09-26,IN25385,2022-09-20,Orange Office Supplies,V_ORANGE001,3986.94,2022-09-16,USD,673.3,2022-10-16,Dr,False
10013513,2023-05-24,IN23335,2023-05-23,Orange Office Supplies,V_ORANGE001,5688.34,2023-05-21,USD,432.13,2023-06-20,Cr,False
10052645,2023-06-07,IN27818,2023-06-03,Orange Office Supplies,V_ORANGE001,7223.45,2023-06-01,EUR,345.13,2023-07-01,Dr,False
10097908,,IN91653,2022-09-16,Orange Office Supplies,V_ORANGE001,4142.0,2022-09-15,CAD,798.6,2022-10-15,Cr,False
10073069,2023-08-03,IN98896,2023-07-26,Green Grocers Co.,V_GREEN001,5638.83,2023-07-25,GBP,502.87,2023-08-24,Cr,False
10081327,2023-05-30,IN67225,2023-05-29,Green Grocers Co.,V_GREEN001,4407.22,2023-05-27,GBP,645.51,2023-06-26,Dr,False
10051520,2022-11-15,IN35675,2022-11-10,Orange Office Supplies,V_ORANGE001,4447.66,2022-11-09,CAD,431.04,2022-12-09,Dr,False
10037127,2023-07-01,IN15141,2023-06-25,Yellow Yard Services,V_YELLOW001,4303.39,2023-06-21,USD,569.31,2023-07-21,,False
10048437,2023-04-05,IN45503,2023-04-04,Yellow Yard Services,V_YELLOW001,3995.79,2023-03-31,GBP,541.28,2023-04-30,Cr,False
10075756,2022-01-07,IN56994,2022-01-05,Orange Office Supplies,V_ORANGE001,4934.5,2022-01-01,GBP,231.65,2022-01-31,Cr,False
10089273,2022-02-13,IN84859,2022-02-11,Red Roofing Solutions,V_RED001,20877.11,2022-02-08,EUR,2694.3,2022-03-10,Dr,True
10054415,2023-07-08,IN22569,2023-07-03,Red Roofing Solutions,V_RED001,6816.05,2023-07-02,EUR,497.41,2023-08-01,,False
10010798,,IN17601,2023-09-11,Red Roofing Solutions,V_RED001,2689.49,2023-09-07,CAD,290.93,2023-10-07,,False
10086312,2023-05-30,IN85324,2023-05-27,Green Grocers Co.,V_GREEN001,3452.4,2023-05-23,USD,667.0,2023-06-22,Dr,False
10095920,2023-04-08,IN55734,2023-03-30,Red Roofing Solutions,V_RED001,2271.04,2023-03-27,EUR,396.02,2023-04-26,,False
10012352,2023-12-15,IN11932,2023-12-11,Orange Office Supplies,V_ORANGE001,2690.5,2023-12-09,EUR,277.06,2024-01-08,Dr,False
10049384,2023-03-01,IN92912,2023-02-24,Purple Plumbers Limited,V_PURPLE001,6457.13,2023-02-20,EUR,601.48,2023-03-22,,False
10051964,2022-07-22,IN40028,2022-07-14,Yellow Yard Services,V_YELLOW001,5622.88,2022-07-11,GBP,420.71,2022-08-10,Cr,False
10081139,2022-01-09,IN44980,2022-01-04,Green Grocers Co.,V_GREEN001,4907.67,2022-01-01,USD,493.67,2022-01-31,Dr,False
10028161,2023-08-01,IN17490,2023-07-25,Purple Plumbers Limited,V_PURPLE001,3298.58,2023-07-23,CAD,477.24,2023-08-22,Cr,False
10051185,2022-05-05,IN80744,2022-04-26,Red Roofing Solutions,V_RED001,3730.03,2022-04-22,CAD,496.3,2022-05-22,Dr,False
10048799,2023-06-30,IN47011,2023-06-23,Purple Plumbers Limited,V_PURPLE001,4761.89,2023-06-21,CAD,407.43,2023-07-21,,False
10078259,2023-03-17,IN59810,2023-03-10,Purple Plumbers Limited,V_PURPLE001,3494.84,2023-03-09,GBP,450.3,2023-04-08,Cr,False
10035003,,IN72768,2022-06-18,Blue Builders Inc.,V_BLUE001,23160.58,2022-06-15,CAD,1510.62,2022-07-15,,True
10026999,2023-05-12,IN72522,2023-05-06,Blue Builders Inc.,V_BLUE001,7383.75,2023-05-05,USD,538.44,2023-06-04,,False
10099765,2022-07-19,IN89768,2022-07-13,Yellow Yard Services,V_YELLOW001,1224.29,2022-07-10,EUR,296.33,2022-08-09,Cr,False
10035816,2022-12-09,IN25619,2022-12-01,Yellow Yard Services,V_YELLOW001,5142.61,2022-11-30,CAD,627.23,2022-12-30,Cr,False
10098427,2023-09-22,IN67745,2023-09-18,Red Roofing Solutions,V_RED001,3416.54,2023-09-14,EUR,446.95,2023-10-14,Dr,False
10054732,2022-04-19,IN18711,2022-04-15,Red Roofing Solutions,V_RED001,4751.41,2022-04-13,CAD,466.79,2022-05-13,,False
10060690,2023-02-03,IN93251,2023-02-02,Orange Office Supplies,V_ORANGE001,3551.59,2023-02-01,USD,739.86,2023-03-03,,False
